,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6138422222222222,0.0
0,-1,-1,100.0,[0],[0],0.8420666666666666,1.0
0,-1,-1,100.0,[0],[0],0.6531111111111111,2.0
0,-1,-1,0.0,[1],[0],0.5506644444444444,3.0
0,-1,-1,100.0,[0],[0],0.7442,4.0
0,-1,-1,100.0,[0],[0],0.7020666666666666,5.0
0,-1,-1,100.0,[0],[0],0.6697422222222222,6.0
0,-1,-1,100.0,[0],[0],0.7768,7.0
0,-1,-1,100.0,[0],[0],0.7624666666666666,8.0
0,-1,-1,100.0,[0],[0],0.6052,9.0
0,-1,-1,100.0,[0],[0],0.7176666666666667,10.0
0,-1,-1,0.0,[1],[0],0.7713188888888889,11.0
0,-1,-1,100.0,[0],[0],0.7902,12.0
0,-1,-1,100.0,[0],[0],0.5836544444444445,13.0
0,-1,-1,100.0,[0],[0],0.6003333333333334,14.0
0,-1,-1,100.0,[0],[0],0.7332666666666666,15.0
0,-1,-1,100.0,[0],[0],0.8384,16.0
0,-1,-1,0.0,[0],[1],0.663,17.0
0,-1,-1,0.0,[0],[1],0.5316644444444445,18.0
0,-1,-1,100.0,[0],[0],0.6957333333333333,19.0
0,-1,-1,0.0,[0],[1],0.7683333333333333,20.0
0,-1,-1,0.0,[0],[1],0.60123,21.0
0,-1,-1,0.0,[0],[1],0.6604666666666666,22.0
0,-1,-1,0.0,[0],[1],0.7302,23.0
0,-1,-1,0.0,[0],[1],0.7126,24.0
0,-1,-1,0.0,[0],[1],0.7118,25.0
0,-1,-1,0.0,[0],[1],0.7416,26.0
0,-1,-1,100.0,[0],[0],0.7851333333333333,27.0
0,-1,-1,0.0,[0],[1],0.5021066666666667,28.0
0,-1,-1,0.0,[0],[1],0.5026933333333333,29.0
0,-1,-1,0.0,[0],[1],0.5689111111111111,30.0
0,-1,-1,0.0,[0],[1],0.7909333333333334,31.0
0,-1,-1,0.0,[0],[1],0.737,32.0
0,-1,-1,0.0,[0],[1],0.737,33.0
0,-1,-1,0.0,[0],[1],0.67652,34.0
0,-1,-1,0.0,[0],[1],0.8347333333333333,35.0
0,-1,-1,0.0,[0],[1],0.8161333333333334,36.0
0,-1,-1,0.0,[1],[0],0.76,37.0
0,-1,-1,0.0,[0],[1],0.6685266666666667,38.0
0,-1,-1,0.0,[0],[1],0.5801755555555556,39.0
0,-1,-1,0.0,[0],[1],0.7476,40.0
0,-1,-1,100.0,[1],[1],0.7303333333333333,41.0
0,-1,-1,0.0,[0],[1],0.7256,42.0
0,-1,-1,100.0,[0],[0],0.7184666666666667,43.0
0,-1,-1,100.0,[0],[0],0.7870666666666667,44.0
0,-1,-1,0.0,[0],[1],0.7083866666666667,45.0
