,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5544911111111112,0.0
0,-1,-1,100.0,[0],[0],0.6008,1.0
0,-1,-1,0.0,[1],[0],0.5358055555555555,2.0
0,-1,-1,100.0,[0],[0],0.5473077777777777,3.0
0,-1,-1,100.0,[0],[0],0.6695333333333333,4.0
0,-1,-1,100.0,[0],[0],0.6492,5.0
0,-1,-1,100.0,[0],[0],0.5936933333333333,6.0
0,-1,-1,100.0,[0],[0],0.6313333333333333,7.0
0,-1,-1,0.0,[1],[0],0.604,8.0
0,-1,-1,0.0,[1],[0],0.5848,9.0
0,-1,-1,100.0,[0],[0],0.5878666666666666,10.0
0,-1,-1,100.0,[0],[0],0.5226577777777778,11.0
0,-1,-1,100.0,[0],[0],0.5562,12.0
0,-1,-1,100.0,[0],[0],0.53053,13.0
0,-1,-1,100.0,[0],[0],0.6036666666666667,14.0
0,-1,-1,100.0,[0],[0],0.5530666666666667,15.0
0,-1,-1,0.0,[1],[0],0.5916666666666667,16.0
0,-1,-1,0.0,[0],[1],0.569,17.0
0,-1,-1,0.0,[0],[1],0.4862111111111111,18.0
0,-1,-1,100.0,[0],[0],0.5676666666666667,19.0
0,-1,-1,0.0,[0],[1],0.5915333333333334,20.0
0,-1,-1,100.0,[1],[1],0.5852322222222223,21.0
0,-1,-1,0.0,[0],[1],0.6059333333333333,22.0
0,-1,-1,0.0,[0],[1],0.5578666666666666,23.0
0,-1,-1,0.0,[0],[1],0.6300666666666667,24.0
0,-1,-1,0.0,[0],[1],0.6023333333333334,25.0
0,-1,-1,0.0,[0],[1],0.7127333333333333,26.0
0,-1,-1,0.0,[1],[0],0.5634,27.0
0,-1,-1,0.0,[0],[1],0.5111355555555556,28.0
0,-1,-1,0.0,[0],[1],0.4946111111111111,29.0
0,-1,-1,0.0,[0],[1],0.5231622222222222,30.0
0,-1,-1,100.0,[1],[1],0.6306,31.0
0,-1,-1,100.0,[1],[1],0.6806,32.0
0,-1,-1,0.0,[0],[1],0.5803333333333334,33.0
0,-1,-1,0.0,[0],[1],0.4986911111111111,34.0
0,-1,-1,100.0,[1],[1],0.5724666666666667,35.0
0,-1,-1,0.0,[0],[1],0.7748,36.0
0,-1,-1,100.0,[0],[0],0.7092666666666667,37.0
0,-1,-1,0.0,[0],[1],0.4968422222222222,38.0
0,-1,-1,0.0,[0],[1],0.5694755555555555,39.0
0,-1,-1,100.0,[1],[1],0.6181333333333333,40.0
0,-1,-1,0.0,[0],[1],0.6038666666666667,41.0
0,-1,-1,100.0,[1],[1],0.5757333333333333,42.0
0,-1,-1,100.0,[0],[0],0.6978666666666666,43.0
0,-1,-1,0.0,[1],[0],0.6244,44.0
0,-1,-1,0.0,[0],[1],0.6589322222222223,45.0
