,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6138422222222222,0.0
0,-1,-1,100.0,[0],[0],0.8420666666666666,1.0
0,-1,-1,100.0,[0],[0],0.6531111111111111,2.0
0,-1,-1,0.0,[1],[0],0.5506644444444444,3.0
0,-1,-1,100.0,[0],[0],0.7442,4.0
0,-1,-1,100.0,[0],[0],0.7020666666666666,5.0
0,-1,-1,100.0,[0],[0],0.6697422222222222,6.0
0,-1,-1,100.0,[0],[0],0.7768,7.0
0,-1,-1,100.0,[0],[0],0.7624666666666666,8.0
0,-1,-1,100.0,[0],[0],0.6052,9.0
0,-1,-1,100.0,[0],[0],0.7176666666666667,10.0
0,-1,-1,0.0,[1],[0],0.7713188888888889,11.0
0,-1,-1,100.0,[0],[0],0.7902,12.0
0,-1,-1,100.0,[0],[0],0.5836544444444445,13.0
0,-1,-1,100.0,[0],[0],0.6003333333333334,14.0
0,-1,-1,100.0,[0],[0],0.7332666666666666,15.0
0,-1,-1,100.0,[0],[0],0.8384,16.0
0,-1,-1,0.0,[0],[1],0.663,17.0
0,-1,-1,0.0,[0],[1],0.5316644444444445,18.0
0,-1,-1,100.0,[0],[0],0.6957333333333333,19.0
0,-1,-1,0.0,[0],[1],0.7683333333333333,20.0
0,-1,-1,0.0,[0],[1],0.60123,21.0
0,-1,-1,0.0,[0],[1],0.6604666666666666,22.0
0,-1,-1,0.0,[0],[1],0.7302,23.0
0,-1,-1,0.0,[0],[1],0.7126,24.0
0,-1,-1,0.0,[0],[1],0.7118,25.0
0,-1,-1,0.0,[0],[1],0.7416,26.0
0,-1,-1,0.0,[0],[1],0.7851333333333333,27.0
0,-1,-1,0.0,[0],[1],0.4677977777777777,28.0
0,-1,-1,100.0,[1],[1],0.5098355555555556,29.0
0,-1,-1,0.0,[0],[1],0.6072688888888889,30.0
0,-1,-1,0.0,[0],[1],0.7300666666666666,31.0
0,-1,-1,0.0,[0],[1],0.7062,32.0
0,-1,-1,100.0,[1],[1],0.7234666666666667,33.0
0,-1,-1,0.0,[0],[1],0.7115144444444444,34.0
0,-1,-1,0.0,[0],[1],0.7454,35.0
0,-1,-1,100.0,[1],[1],0.8045333333333333,36.0
0,-1,-1,0.0,[1],[0],0.7086666666666667,37.0
0,-1,-1,100.0,[1],[1],0.6165066666666666,38.0
0,-1,-1,0.0,[0],[1],0.5046133333333334,39.0
0,-1,-1,0.0,[0],[1],0.7016666666666667,40.0
0,-1,-1,0.0,[0],[1],0.7062,41.0
0,-1,-1,0.0,[0],[1],0.7227333333333333,42.0
0,-1,-1,100.0,[0],[0],0.7500666666666667,43.0
0,-1,-1,100.0,[0],[0],0.7340666666666666,44.0
0,-1,-1,0.0,[0],[1],0.6955244444444444,45.0
0,-1,-1,100.0,[0],[0],0.6138422222222222,0.0
0,-1,-1,0.0,[1],[0],0.8420666666666666,1.0
0,-1,-1,100.0,[0],[0],0.6531111111111111,2.0
0,-1,-1,100.0,[0],[0],0.5506644444444444,3.0
0,-1,-1,100.0,[0],[0],0.7442,4.0
0,-1,-1,0.0,[1],[0],0.7020666666666666,5.0
0,-1,-1,100.0,[0],[0],0.6697422222222222,6.0
0,-1,-1,100.0,[0],[0],0.7768,7.0
0,-1,-1,0.0,[1],[0],0.7624666666666666,8.0
0,-1,-1,0.0,[1],[0],0.6052,9.0
0,-1,-1,0.0,[1],[0],0.7176666666666667,10.0
0,-1,-1,100.0,[0],[0],0.7713188888888889,11.0
0,-1,-1,100.0,[0],[0],0.7902,12.0
0,-1,-1,100.0,[0],[0],0.5836544444444445,13.0
0,-1,-1,100.0,[0],[0],0.6003333333333334,14.0
0,-1,-1,100.0,[0],[0],0.7332666666666666,15.0
0,-1,-1,100.0,[0],[0],0.8384,16.0
0,-1,-1,0.0,[0],[1],0.663,17.0
0,-1,-1,0.0,[0],[1],0.5316644444444445,18.0
0,-1,-1,100.0,[0],[0],0.6957333333333333,19.0
0,-1,-1,0.0,[0],[1],0.7683333333333333,20.0
0,-1,-1,100.0,[1],[1],0.60123,21.0
0,-1,-1,0.0,[0],[1],0.6604666666666666,22.0
0,-1,-1,0.0,[0],[1],0.7302,23.0
0,-1,-1,0.0,[0],[1],0.7126,24.0
0,-1,-1,100.0,[1],[1],0.7118,25.0
0,-1,-1,100.0,[1],[1],0.7416,26.0
0,-1,-1,100.0,[1],[1],0.7851333333333333,27.0
0,-1,-1,0.0,[0],[1],0.4677977777777777,28.0
0,-1,-1,0.0,[0],[1],0.5098355555555556,29.0
0,-1,-1,0.0,[0],[1],0.6072688888888889,30.0
0,-1,-1,0.0,[0],[1],0.7300666666666666,31.0
0,-1,-1,0.0,[0],[1],0.7062,32.0
0,-1,-1,100.0,[1],[1],0.7234666666666667,33.0
0,-1,-1,0.0,[0],[1],0.7115144444444444,34.0
0,-1,-1,100.0,[1],[1],0.7454,35.0
0,-1,-1,0.0,[0],[1],0.8045333333333333,36.0
0,-1,-1,100.0,[0],[0],0.7086666666666667,37.0
0,-1,-1,0.0,[0],[1],0.6165066666666666,38.0
0,-1,-1,0.0,[0],[1],0.5046133333333334,39.0
0,-1,-1,0.0,[0],[1],0.7016666666666667,40.0
0,-1,-1,0.0,[0],[1],0.7062,41.0
0,-1,-1,0.0,[0],[1],0.7227333333333333,42.0
0,-1,-1,100.0,[0],[0],0.7500666666666667,43.0
0,-1,-1,100.0,[0],[0],0.7340666666666666,44.0
0,-1,-1,0.0,[0],[1],0.6955244444444444,45.0
