,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.4999711111111111,0.0
0,-1,-1,100.0,[0],[0],0.6133388888888889,1.0
0,-1,-1,100.0,[0],[0],0.46607,2.0
0,-1,-1,100.0,[0],[0],0.4039588888888888,3.0
0,-1,-1,100.0,[0],[0],0.5268,4.0
0,-1,-1,100.0,[0],[0],0.62237,5.0
0,-1,-1,100.0,[0],[0],0.4024911111111111,6.0
0,-1,-1,100.0,[0],[0],0.6076777777777778,7.0
0,-1,-1,100.0,[0],[0],0.5823955555555556,8.0
0,-1,-1,100.0,[0],[0],0.5113988888888888,9.0
0,-1,-1,0.0,[1],[0],0.5230166666666667,10.0
0,-1,-1,100.0,[0],[0],0.4788233333333333,11.0
0,-1,-1,0.0,[1],[0],0.6151288888888888,12.0
0,-1,-1,100.0,[0],[0],0.4510711111111111,13.0
0,-1,-1,100.0,[0],[0],0.5166411111111111,14.0
0,-1,-1,100.0,[0],[0],0.5614711111111111,15.0
0,-1,-1,100.0,[0],[0],0.6087244444444444,16.0
0,-1,-1,100.0,[1],[1],0.6037466666666667,17.0
0,-1,-1,0.0,[0],[1],0.3510366666666666,18.0
0,-1,-1,0.0,[1],[0],0.6079555555555556,19.0
0,-1,-1,0.0,[0],[1],0.6444011111111111,20.0
0,-1,-1,0.0,[0],[1],0.4518777777777777,21.0
0,-1,-1,0.0,[0],[1],0.6097288888888889,22.0
0,-1,-1,100.0,[1],[1],0.6886,23.0
0,-1,-1,0.0,[0],[1],0.6281622222222222,24.0
0,-1,-1,100.0,[1],[1],0.5739166666666666,25.0
0,-1,-1,0.0,[0],[1],0.6368355555555556,26.0
0,-1,-1,0.0,[0],[1],0.6054644444444445,27.0
0,-1,-1,100.0,[1],[1],0.2773477777777778,28.0
0,-1,-1,100.0,[1],[1],0.3896344444444444,29.0
0,-1,-1,0.0,[0],[1],0.3506411111111111,30.0
0,-1,-1,0.0,[0],[1],0.6391233333333334,31.0
0,-1,-1,0.0,[0],[1],0.6196833333333334,32.0
0,-1,-1,100.0,[1],[1],0.5317,33.0
0,-1,-1,0.0,[0],[1],0.5085644444444445,34.0
0,-1,-1,0.0,[0],[1],0.6485511111111111,35.0
0,-1,-1,0.0,[0],[1],0.6516388888888889,36.0
0,-1,-1,0.0,[1],[0],0.60435,37.0
0,-1,-1,100.0,[1],[1],0.2741422222222222,38.0
0,-1,-1,100.0,[1],[1],0.3140644444444444,39.0
0,-1,-1,0.0,[0],[1],0.6196533333333333,40.0
0,-1,-1,0.0,[0],[1],0.6144111111111111,41.0
0,-1,-1,0.0,[0],[1],0.4903233333333333,42.0
0,-1,-1,100.0,[0],[0],0.5824133333333333,43.0
0,-1,-1,0.0,[1],[0],0.6172066666666667,44.0
0,-1,-1,0.0,[0],[1],0.52156,45.0
