,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0038233333333333,0.0
0,-1,-1,0.0,[1],[0],0.0067233333333333,1.0
0,-1,-1,100.0,[0],[0],0.0066333333333333,2.0
0,-1,-1,100.0,[0],[0],0.0055266666666666,3.0
0,-1,-1,100.0,[0],[0],0.0034366666666666,4.0
0,-1,-1,0.0,[1],[0],0.0073166666666666,5.0
0,-1,-1,100.0,[0],[0],0.00159,6.0
0,-1,-1,0.0,[1],[0],0.0054066666666666,7.0
0,-1,-1,100.0,[0],[0],0.0047366666666666,8.0
0,-1,-1,100.0,[0],[0],0.0073233333333333,9.0
0,-1,-1,100.0,[0],[0],0.00855,10.0
0,-1,-1,0.0,[1],[0],0.00354,11.0
0,-1,-1,0.0,[1],[0],0.0112233333333333,12.0
0,-1,-1,0.0,[1],[0],0.0040633333333333,13.0
0,-1,-1,100.0,[0],[0],0.0075933333333333,14.0
0,-1,-1,100.0,[0],[0],0.0047566666666666,15.0
0,-1,-1,100.0,[0],[0],0.0171833333333333,16.0
0,-1,-1,0.0,[0],[1],0.01012,17.0
0,-1,-1,0.0,[0],[1],0.0070833333333333,18.0
0,-1,-1,100.0,[0],[0],0.0075566666666666,19.0
0,-1,-1,0.0,[0],[1],0.0114133333333333,20.0
0,-1,-1,0.0,[0],[1],0.0149333333333333,21.0
0,-1,-1,0.0,[0],[1],0.0084666666666666,22.0
0,-1,-1,100.0,[1],[1],0.0021233333333333,23.0
0,-1,-1,0.0,[0],[1],0.0026733333333333,24.0
0,-1,-1,100.0,[1],[1],0.00982,25.0
0,-1,-1,0.0,[0],[1],0.00727,26.0
0,-1,-1,100.0,[1],[1],0.0044566666666666,27.0
0,-1,-1,100.0,[1],[1],0.00407,28.0
0,-1,-1,0.0,[0],[1],0.0053233333333333,29.0
0,-1,-1,0.0,[0],[1],0.0118133333333333,30.0
0,-1,-1,0.0,[0],[1],0.0073433333333333,31.0
0,-1,-1,100.0,[1],[1],0.0021933333333333,32.0
0,-1,-1,100.0,[1],[1],0.0016066666666666,33.0
0,-1,-1,100.0,[1],[1],0.00297,34.0
0,-1,-1,100.0,[1],[1],0.01202,35.0
0,-1,-1,0.0,[0],[1],0.00762,36.0
0,-1,-1,100.0,[0],[0],0.00915,37.0
0,-1,-1,100.0,[1],[1],0.0050866666666666,38.0
0,-1,-1,0.0,[0],[1],0.00908,39.0
0,-1,-1,0.0,[0],[1],0.0169466666666666,40.0
0,-1,-1,0.0,[0],[1],0.01627,41.0
0,-1,-1,0.0,[0],[1],0.01378,42.0
0,-1,-1,0.0,[1],[0],0.00626,43.0
0,-1,-1,100.0,[0],[0],0.0064666666666666,44.0
0,-1,-1,0.0,[0],[1],0.0032433333333333333,45.0
