,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.0381033333333333,0.0
0,-1,-1,0.0,[1],[0],0.0591033333333333,1.0
0,-1,-1,100.0,[0],[0],0.04575,2.0
0,-1,-1,100.0,[0],[0],0.0562033333333333,3.0
0,-1,-1,0.0,[1],[0],0.0348866666666666,4.0
0,-1,-1,100.0,[0],[0],0.0651166666666666,5.0
0,-1,-1,100.0,[0],[0],0.03322,6.0
0,-1,-1,0.0,[1],[0],0.0538633333333333,7.0
0,-1,-1,100.0,[0],[0],0.05134,8.0
0,-1,-1,100.0,[0],[0],0.07601,9.0
0,-1,-1,0.0,[1],[0],0.0601433333333333,10.0
0,-1,-1,100.0,[0],[0],0.04264,11.0
0,-1,-1,100.0,[0],[0],0.07223,12.0
0,-1,-1,0.0,[1],[0],0.0378733333333333,13.0
0,-1,-1,0.0,[1],[0],0.0689766666666666,14.0
0,-1,-1,100.0,[0],[0],0.04096,15.0
0,-1,-1,0.0,[1],[0],0.09892,16.0
0,-1,-1,100.0,[1],[1],0.1012666666666666,17.0
0,-1,-1,100.0,[1],[1],0.0697133333333333,18.0
0,-1,-1,100.0,[0],[0],0.0671533333333333,19.0
0,-1,-1,0.0,[0],[1],0.11336,20.0
0,-1,-1,100.0,[1],[1],0.0852666666666666,21.0
0,-1,-1,0.0,[0],[1],0.0657666666666666,22.0
0,-1,-1,100.0,[1],[1],0.0391333333333333,23.0
0,-1,-1,0.0,[0],[1],0.0470633333333333,24.0
0,-1,-1,0.0,[0],[1],0.1010966666666666,25.0
0,-1,-1,0.0,[0],[1],0.0858866666666666,26.0
0,-1,-1,100.0,[1],[1],0.0550733333333333,27.0
0,-1,-1,0.0,[0],[1],0.0248833333333333,28.0
0,-1,-1,0.0,[0],[1],0.05296,29.0
0,-1,-1,0.0,[0],[1],0.06896,30.0
0,-1,-1,0.0,[0],[1],0.0824933333333333,31.0
0,-1,-1,100.0,[1],[1],0.06811,32.0
0,-1,-1,0.0,[0],[1],0.03513,33.0
0,-1,-1,0.0,[0],[1],0.0338066666666666,34.0
0,-1,-1,100.0,[1],[1],0.12625,35.0
0,-1,-1,100.0,[1],[1],0.0904233333333333,36.0
0,-1,-1,100.0,[0],[0],0.1032633333333333,37.0
0,-1,-1,100.0,[1],[1],0.0373366666666666,38.0
0,-1,-1,0.0,[0],[1],0.0660066666666666,39.0
0,-1,-1,0.0,[0],[1],0.1088833333333333,40.0
0,-1,-1,100.0,[1],[1],0.1170833333333333,41.0
0,-1,-1,0.0,[0],[1],0.11694,42.0
0,-1,-1,0.0,[1],[0],0.1052233333333333,43.0
0,-1,-1,100.0,[0],[0],0.06794,44.0
0,-1,-1,100.0,[1],[1],0.06807666666666666,45.0
