,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5544911111111112,0.0
0,-1,-1,100.0,[0],[0],0.6008,1.0
0,-1,-1,0.0,[1],[0],0.5358055555555555,2.0
0,-1,-1,100.0,[0],[0],0.5473077777777777,3.0
0,-1,-1,100.0,[0],[0],0.6695333333333333,4.0
0,-1,-1,100.0,[0],[0],0.6492,5.0
0,-1,-1,100.0,[0],[0],0.5936933333333333,6.0
0,-1,-1,100.0,[0],[0],0.6313333333333333,7.0
0,-1,-1,0.0,[1],[0],0.604,8.0
0,-1,-1,0.0,[1],[0],0.5848,9.0
0,-1,-1,100.0,[0],[0],0.5696666666666667,10.0
0,-1,-1,100.0,[0],[0],0.4881777777777777,11.0
0,-1,-1,100.0,[0],[0],0.5774666666666667,12.0
0,-1,-1,100.0,[0],[0],0.5142066666666667,13.0
0,-1,-1,100.0,[0],[0],0.7345333333333334,14.0
0,-1,-1,0.0,[1],[0],0.5465333333333333,15.0
0,-1,-1,0.0,[1],[0],0.593,16.0
0,-1,-1,100.0,[1],[1],0.613,17.0
0,-1,-1,0.0,[0],[1],0.6148688888888889,18.0
0,-1,-1,100.0,[0],[0],0.7311333333333333,19.0
0,-1,-1,100.0,[1],[1],0.5822666666666667,20.0
0,-1,-1,0.0,[0],[1],0.5481455555555556,21.0
0,-1,-1,100.0,[1],[1],0.6036666666666667,22.0
0,-1,-1,0.0,[0],[1],0.5662,23.0
0,-1,-1,0.0,[0],[1],0.5466,24.0
0,-1,-1,100.0,[1],[1],0.6172666666666666,25.0
0,-1,-1,100.0,[1],[1],0.5790666666666666,26.0
0,-1,-1,100.0,[1],[1],0.5699333333333333,27.0
0,-1,-1,100.0,[1],[1],0.48698,28.0
0,-1,-1,0.0,[0],[1],0.5414733333333334,29.0
0,-1,-1,0.0,[0],[1],0.4660577777777778,30.0
0,-1,-1,0.0,[0],[1],0.7238,31.0
0,-1,-1,100.0,[1],[1],0.5710666666666666,32.0
0,-1,-1,0.0,[0],[1],0.6464,33.0
0,-1,-1,0.0,[0],[1],0.5809766666666667,34.0
0,-1,-1,0.0,[0],[1],0.6676,35.0
0,-1,-1,0.0,[0],[1],0.5454,36.0
0,-1,-1,0.0,[1],[0],0.5788666666666666,37.0
0,-1,-1,0.0,[0],[1],0.4897133333333333,38.0
0,-1,-1,0.0,[0],[1],0.6066466666666667,39.0
0,-1,-1,0.0,[0],[1],0.6340666666666667,40.0
0,-1,-1,100.0,[1],[1],0.6880666666666667,41.0
0,-1,-1,0.0,[0],[1],0.6641333333333334,42.0
0,-1,-1,100.0,[0],[0],0.6170666666666667,43.0
0,-1,-1,0.0,[1],[0],0.6198,44.0
0,-1,-1,0.0,[0],[1],0.5504255555555555,45.0
