,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.41844,0.0
0,-1,-1,100.0,[0],[0],0.4866922222222222,1.0
0,-1,-1,100.0,[0],[0],0.37672,2.0
0,-1,-1,100.0,[0],[0],0.3480355555555555,3.0
0,-1,-1,100.0,[0],[0],0.4467333333333333,4.0
0,-1,-1,100.0,[0],[0],0.5071655555555555,5.0
0,-1,-1,0.0,[1],[0],0.3370188888888888,6.0
0,-1,-1,100.0,[0],[0],0.4925311111111111,7.0
0,-1,-1,100.0,[0],[0],0.4827466666666666,8.0
0,-1,-1,100.0,[0],[0],0.4301555555555555,9.0
0,-1,-1,0.0,[1],[0],0.43142,10.0
0,-1,-1,100.0,[0],[0],0.3933233333333333,11.0
0,-1,-1,0.0,[1],[0],0.5017877777777778,12.0
0,-1,-1,100.0,[0],[0],0.3815111111111111,13.0
0,-1,-1,100.0,[0],[0],0.4372444444444444,14.0
0,-1,-1,100.0,[0],[0],0.4766022222222222,15.0
0,-1,-1,100.0,[0],[0],0.4878577777777778,16.0
0,-1,-1,100.0,[1],[1],0.5106522222222222,17.0
0,-1,-1,0.0,[0],[1],0.2873811111111111,18.0
0,-1,-1,0.0,[1],[0],0.50166,19.0
0,-1,-1,0.0,[0],[1],0.5282377777777778,20.0
0,-1,-1,0.0,[0],[1],0.3841088888888889,21.0
0,-1,-1,0.0,[0],[1],0.5016211111111111,22.0
0,-1,-1,0.0,[0],[1],0.5590544444444444,23.0
0,-1,-1,0.0,[0],[1],0.5236433333333333,24.0
0,-1,-1,100.0,[1],[1],0.4643277777777778,25.0
0,-1,-1,100.0,[1],[1],0.5215677777777777,26.0
0,-1,-1,100.0,[1],[1],0.50276,27.0
0,-1,-1,100.0,[1],[1],0.2283811111111111,28.0
0,-1,-1,0.0,[0],[1],0.3135344444444444,29.0
0,-1,-1,0.0,[0],[1],0.2916866666666666,30.0
0,-1,-1,100.0,[1],[1],0.5335877777777778,31.0
0,-1,-1,0.0,[0],[1],0.5147011111111112,32.0
0,-1,-1,100.0,[1],[1],0.4479922222222222,33.0
0,-1,-1,0.0,[0],[1],0.4137322222222222,34.0
0,-1,-1,0.0,[0],[1],0.5263288888888888,35.0
0,-1,-1,0.0,[0],[1],0.5449455555555556,36.0
0,-1,-1,100.0,[0],[0],0.5019744444444444,37.0
0,-1,-1,100.0,[1],[1],0.2254533333333333,38.0
0,-1,-1,100.0,[1],[1],0.2514677777777778,39.0
0,-1,-1,100.0,[1],[1],0.5293066666666667,40.0
0,-1,-1,0.0,[0],[1],0.5096211111111111,41.0
0,-1,-1,0.0,[0],[1],0.3950511111111111,42.0
0,-1,-1,100.0,[0],[0],0.47683,43.0
0,-1,-1,100.0,[0],[0],0.51962,44.0
0,-1,-1,0.0,[0],[1],0.42002555555555554,45.0
