fold,sparsity
0,0.67452
1,0.6936666666666667
2,0.6518666666666667
3,0.6517566666666667
4,0.66554
5,0.6378666666666667
6,0.68017
7,0.7161333333333333
8,0.707
9,0.697
10,0.6617766666666667
11,0.65534
12,0.6803333333333333
13,0.6307133333333333
14,0.6944
15,0.6536666666666666
16,0.7030433333333334
17,0.6933333333333334
18,0.63576
19,0.6324
20,0.7114
21,0.67239
22,0.6613766666666666
23,0.6655333333333333
24,0.6632666666666667
25,0.6672666666666667
26,0.6372
27,0.72
28,0.5978933333333334
29,0.5880666666666666
30,0.6646333333333333
31,0.69358
32,0.6588933333333333
33,0.6953333333333334
34,0.6391766666666666
35,0.69564
36,0.6654666666666667
37,0.6737333333333333
38,0.6131433333333334
39,0.6271066666666667
40,0.7281333333333333
41,0.7138
42,0.6926166666666667
43,0.6901333333333334
44,0.6715166666666667
45,0.6653266666666666
