,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[0],[1],0.5058322222222222,45.0
0,-1,-1,100.0,[0],[0],0.6247761111111111,44.0
0,-1,-1,100.0,[0],[0],0.5859411111111111,43.0
0,-1,-1,0.0,[0],[1],0.4828355555555556,42.0
0,-1,-1,100.0,[0],[0],0.6097372222222223,41.0
0,-1,-1,100.0,[0],[0],0.6287122222222222,40.0
0,-1,-1,100.0,[1],[1],0.30365,39.0
0,-1,-1,100.0,[0],[0],0.2664861111111111,38.0
0,-1,-1,100.0,[0],[0],0.6128455555555555,37.0
0,-1,-1,0.0,[0],[1],0.6549977777777778,36.0
0,-1,-1,0.0,[0],[1],0.6328461111111111,35.0
0,-1,-1,100.0,[0],[0],0.5001605555555556,34.0
0,-1,-1,100.0,[0],[0],0.535595,33.0
0,-1,-1,100.0,[0],[0],0.6061294444444445,32.0
0,-1,-1,0.0,[0],[1],0.6462994444444444,31.0
0,-1,-1,0.0,[0],[1],0.3510961111111111,30.0
0,-1,-1,100.0,[0],[0],0.3764644444444444,29.0
0,-1,-1,0.0,[1],[0],0.2749866666666666,28.0
0,-1,-1,0.0,[1],[0],0.5955777777777778,27.0
0,-1,-1,0.0,[0],[1],0.6256322222222223,26.0
0,-1,-1,0.0,[0],[1],0.5687188888888889,25.0
0,-1,-1,100.0,[0],[0],0.6187933333333333,24.0
0,-1,-1,0.0,[0],[1],0.6609472222222222,23.0
0,-1,-1,100.0,[0],[0],0.4811905555555555,0.0
0,-1,-1,100.0,[0],[0],0.57648,1.0
0,-1,-1,100.0,[0],[0],0.006415,2.0
0,-1,-1,100.0,[0],[0],0.4163677777777778,3.0
0,-1,-1,100.0,[0],[0],0.5171855555555556,4.0
0,-1,-1,100.0,[0],[0],0.5909233333333334,5.0
0,-1,-1,0.0,[1],[0],0.3925572222222222,6.0
0,-1,-1,100.0,[0],[0],0.5829122222222223,7.0
0,-1,-1,0.0,[1],[0],0.5716972222222222,8.0
0,-1,-1,100.0,[0],[0],0.4998633333333333,9.0
0,-1,-1,100.0,[0],[0],0.5069038888888889,10.0
0,-1,-1,100.0,[0],[0],0.4724216666666667,11.0
0,-1,-1,100.0,[0],[0],0.6033255555555556,12.0
0,-1,-1,100.0,[0],[0],0.44590722222222223,13.0
