,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[1],[1],0.6661883333333334,45.0
0,-1,-1,100.0,[0],[0],0.7998255555555556,44.0
0,-1,-1,100.0,[0],[0],0.7656038888888889,43.0
0,-1,-1,0.0,[0],[1],0.6852522222222223,42.0
0,-1,-1,100.0,[0],[0],0.8202711111111111,41.0
0,-1,-1,100.0,[0],[0],0.8355283333333333,40.0
0,-1,-1,100.0,[1],[1],0.3995783333333333,39.0
0,-1,-1,0.0,[1],[0],0.3530083333333333,38.0
0,-1,-1,100.0,[0],[0],0.78417,37.0
0,-1,-1,0.0,[0],[1],0.8628944444444444,36.0
0,-1,-1,0.0,[0],[1],0.8308811111111111,35.0
0,-1,-1,0.0,[1],[0],0.6548516666666667,34.0
0,-1,-1,100.0,[0],[0],0.7115672222222222,33.0
0,-1,-1,0.0,[1],[0],0.8011516666666667,32.0
0,-1,-1,100.0,[1],[1],0.8389872222222222,31.0
0,-1,-1,0.0,[0],[1],0.4556705555555556,30.0
0,-1,-1,100.0,[0],[0],0.4845477777777778,29.0
0,-1,-1,0.0,[1],[0],0.3571927777777778,28.0
0,-1,-1,100.0,[0],[0],0.8106255555555556,27.0
0,-1,-1,0.0,[0],[1],0.8370405555555556,26.0
0,-1,-1,0.0,[0],[1],0.7332072222222222,25.0
0,-1,-1,0.0,[1],[0],0.83252,24.0
0,-1,-1,100.0,[1],[1],0.8749194444444445,23.0
0,-1,-1,0.0,[1],[0],0.6496405555555556,0.0
0,-1,-1,100.0,[0],[0],0.0586866666666666,1.0
0,-1,-1,0.0,[1],[0],0.6166322222222222,2.0
0,-1,-1,100.0,[0],[0],0.5515016666666667,3.0
0,-1,-1,100.0,[0],[0],0.7147805555555555,4.0
