,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.038625,0
0,-1,-1,100.0,[0],[0],0.0586866666666666,1
0,-1,-1,0.0,[1],[0],0.0454633333333333,2
0,-1,-1,100.0,[0],[0],0.05627,3
0,-1,-1,100.0,[0],[0],0.03503,4
0,-1,-1,100.0,[0],[0],0.0644333333333333,5
0,-1,-1,100.0,[0],[0],0.0337333333333333,6
0,-1,-1,100.0,[0],[0],0.0537483333333333,7
0,-1,-1,0.0,[1],[0],0.05106,8
0,-1,-1,100.0,[0],[0],0.0762383333333333,9
0,-1,-1,100.0,[0],[0],0.060225,10
0,-1,-1,0.0,[1],[0],0.043315,11
0,-1,-1,0.0,[1],[0],0.0722866666666666,12
0,-1,-1,100.0,[0],[0],0.037525,13
0,-1,-1,0.0,[1],[0],0.068975,14
0,-1,-1,100.0,[0],[0],0.0412383333333333,15
0,-1,-1,100.0,[0],[0],0.0996333333333333,16
0,-1,-1,0.0,[1],[0],0.101165,17
