,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.4849603703703704,0.0
0,-1,-1,0.0,[1],[0],0.6062674074074074,1.0
0,-1,-1,100.0,[0],[0],0.4534862962962963,2.0
0,-1,-1,100.0,[0],[0],0.4088514814814815,3.0
0,-1,-1,0.0,[1],[0],0.5030948148148148,4.0
0,-1,-1,100.0,[0],[0],0.6126455555555556,5.0
0,-1,-1,100.0,[0],[0],0.3974777777777777,6.0
0,-1,-1,100.0,[0],[0],0.5857714814814815,7.0
0,-1,-1,0.0,[1],[0],0.5804311111111111,8.0
0,-1,-1,100.0,[0],[0],0.5013144444444444,9.0
0,-1,-1,100.0,[0],[0],0.5127822222222223,10.0
0,-1,-1,0.0,[1],[0],0.4830792592592592,11.0
0,-1,-1,100.0,[0],[0],0.6121985185185185,12.0
0,-1,-1,100.0,[0],[0],0.438487037037037,13.0
0,-1,-1,100.0,[0],[0],0.5069374074074074,14.0
0,-1,-1,100.0,[0],[0],0.5347633333333334,15.0
0,-1,-1,100.0,[0],[0],0.6058033333333334,16.0
0,-1,-1,100.0,[0],[0],0.6042562962962963,17.0
0,-1,-1,0.0,[0],[1],0.3451644444444444,18.0
0,-1,-1,0.0,[0],[1],0.5872418518518518,19.0
0,-1,-1,100.0,[0],[0],0.624482962962963,20.0
0,-1,-1,0.0,[1],[0],0.450054074074074,21.0
0,-1,-1,100.0,[0],[0],0.5953385185185185,22.0
0,-1,-1,100.0,[1],[1],0.6788492592592592,23.0
0,-1,-1,100.0,[0],[0],0.6273722222222222,24.0
0,-1,-1,0.0,[0],[1],0.56549,25.0
0,-1,-1,0.0,[0],[1],0.6377722222222222,26.0
0,-1,-1,0.0,[1],[0],0.5983196296296296,27.0
0,-1,-1,100.0,[0],[0],0.2783403703703703,28.0
0,-1,-1,0.0,[1],[0],0.3791303703703704,29.0
0,-1,-1,100.0,[1],[1],0.3467403703703703,30.0
0,-1,-1,0.0,[0],[1],0.646342962962963,31.0
0,-1,-1,100.0,[0],[0],0.604577037037037,32.0
0,-1,-1,0.0,[1],[0],0.521024074074074,33.0
0,-1,-1,100.0,[0],[0],0.5100077777777777,34.0
0,-1,-1,0.0,[0],[1],0.6322540740740741,35.0
0,-1,-1,0.0,[0],[1],0.6496514814814814,36.0
0,-1,-1,100.0,[0],[0],0.6198351851851852,37.0
0,-1,-1,0.0,[1],[0],0.2621762962962963,38.0
0,-1,-1,0.0,[0],[1],0.2965796296296296,39.0
0,-1,-1,100.0,[0],[0],0.6250074074074075,40.0
0,-1,-1,0.0,[1],[0],0.6050048148148148,41.0
0,-1,-1,0.0,[0],[1],0.4776411111111111,42.0
0,-1,-1,0.0,[1],[0],0.5911544444444444,43.0
0,-1,-1,100.0,[0],[0],0.620384074074074,44.0
0,-1,-1,100.0,[1],[1],0.5233988888888889,45.0
