,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.2724516666666666,0.0
0,-1,-1,0.0,[1],[0],0.2262283333333333,1.0
0,-1,-1,100.0,[0],[0],0.1965433333333333,2.0
0,-1,-1,100.0,[0],[0],0.232035,3.0
0,-1,-1,100.0,[0],[0],0.3033033333333333,4.0
0,-1,-1,100.0,[0],[0],0.289465,5.0
0,-1,-1,100.0,[0],[0],0.1872116666666666,6.0
0,-1,-1,100.0,[0],[0],0.2801083333333333,7.0
0,-1,-1,0.0,[1],[0],0.1996,8.0
0,-1,-1,100.0,[0],[0],0.2570933333333333,9.0
0,-1,-1,0.0,[1],[0],0.290595,10.0
0,-1,-1,100.0,[0],[0],0.1958466666666666,11.0
0,-1,-1,0.0,[1],[0],0.3771366666666667,12.0
0,-1,-1,100.0,[0],[0],0.30359,13.0
0,-1,-1,100.0,[0],[0],0.2666166666666666,14.0
0,-1,-1,100.0,[0],[0],0.2517583333333333,15.0
0,-1,-1,100.0,[0],[0],0.3205066666666666,16.0
0,-1,-1,100.0,[0],[0],0.2580666666666666,17.0
0,-1,-1,0.0,[0],[1],0.15848,18.0
0,-1,-1,0.0,[0],[1],0.2670383333333333,19.0
0,-1,-1,100.0,[0],[0],0.31117333333333336,20.0
