,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0380633333333333,0.0
0,-1,-1,100.0,[0],[0],0.0583666666666666,1.0
0,-1,-1,100.0,[0],[0],0.0454533333333333,2.0
0,-1,-1,100.0,[0],[0],0.056315,3.0
0,-1,-1,100.0,[0],[0],0.03503,4.0
0,-1,-1,100.0,[0],[0],0.0649233333333333,5.0
0,-1,-1,100.0,[0],[0],0.0332633333333333,6.0
0,-1,-1,100.0,[0],[0],0.053695,7.0
0,-1,-1,100.0,[0],[0],0.0513833333333333,8.0
0,-1,-1,100.0,[0],[0],0.0770633333333333,9.0
0,-1,-1,100.0,[0],[0],0.0609316666666666,10.0
0,-1,-1,100.0,[0],[0],0.0424716666666666,11.0
0,-1,-1,0.0,[1],[0],0.0728233333333333,12.0
0,-1,-1,100.0,[0],[0],0.03805,13.0
0,-1,-1,100.0,[0],[0],0.0687366666666666,14.0
0,-1,-1,100.0,[0],[0],0.04105,15.0
0,-1,-1,100.0,[0],[0],0.0999166666666666,16.0
0,-1,-1,100.0,[0],[0],0.1009766666666666,17.0
0,-1,-1,100.0,[1],[1],0.0696466666666666,18.0
0,-1,-1,0.0,[0],[1],0.0661816666666666,19.0
0,-1,-1,100.0,[0],[0],0.1133516666666666,20.0
0,-1,-1,100.0,[0],[0],0.0849133333333333,21.0
0,-1,-1,100.0,[0],[0],0.0649483333333333,22.0
0,-1,-1,100.0,[0],[0],0.06494833333333333,22.0
