,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.29095,0.0
0,-1,-1,100.0,[0],[0],0.3318555555555555,1.0
0,-1,-1,100.0,[0],[0],0.3081044444444444,2.0
0,-1,-1,0.0,[1],[0],0.2807422222222222,3.0
0,-1,-1,100.0,[0],[0],0.371,4.0
0,-1,-1,100.0,[0],[0],0.4427333333333333,5.0
0,-1,-1,100.0,[0],[0],0.3052111111111111,6.0
0,-1,-1,0.0,[1],[0],0.4488666666666667,7.0
0,-1,-1,0.0,[1],[0],0.2894677777777777,8.0
0,-1,-1,100.0,[0],[0],0.4252855555555555,9.0
0,-1,-1,0.0,[1],[0],0.3161144444444444,10.0
0,-1,-1,0.0,[1],[0],0.3490755555555555,11.0
0,-1,-1,100.0,[0],[0],0.2638977777777778,12.0
0,-1,-1,0.0,[1],[0],0.2592822222222222,13.0
0,-1,-1,100.0,[0],[0],0.3848133333333333,14.0
0,-1,-1,0.0,[1],[0],0.3373188888888889,15.0
0,-1,-1,0.0,[1],[0],0.2692,16.0
0,-1,-1,100.0,[0],[0],0.4054977777777778,17.0
0,-1,-1,100.0,[1],[1],0.27556,18.0
0,-1,-1,0.0,[0],[1],0.3356411111111111,19.0
0,-1,-1,0.0,[1],[0],0.4951511111111111,20.0
