,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5047362962962963,0.0
0,-1,-1,100.0,[0],[0],0.6668666666666667,1.0
0,-1,-1,100.0,[0],[0],0.6183033333333333,2.0
0,-1,-1,100.0,[0],[0],0.648232962962963,3.0
0,-1,-1,100.0,[0],[0],0.6959333333333333,4.0
0,-1,-1,100.0,[0],[0],0.7398,5.0
0,-1,-1,100.0,[0],[0],0.4842066666666667,6.0
0,-1,-1,100.0,[0],[0],0.7191333333333333,7.0
0,-1,-1,100.0,[0],[0],0.7189333333333333,8.0
0,-1,-1,100.0,[0],[0],0.668,9.0
0,-1,-1,100.0,[0],[0],0.7204,10.0
0,-1,-1,100.0,[0],[0],0.5028996296296296,11.0
0,-1,-1,100.0,[0],[0],0.7316666666666667,12.0
0,-1,-1,100.0,[0],[0],0.6304662962962962,13.0
0,-1,-1,100.0,[0],[0],0.6513251851851852,14.0
0,-1,-1,100.0,[0],[0],0.7468,15.0
0,-1,-1,100.0,[0],[0],0.7147333333333333,16.0
0,-1,-1,100.0,[0],[0],0.7372,17.0
0,-1,-1,0.0,[0],[1],0.5445125925925925,18.0
0,-1,-1,0.0,[0],[1],0.7286666666666667,19.0
0,-1,-1,100.0,[0],[0],0.7134666666666667,20.0
0,-1,-1,100.0,[0],[0],0.5794703703703704,21.0
0,-1,-1,100.0,[0],[0],0.7328,22.0
0,-1,-1,0.0,[0],[1],0.7306,23.0
0,-1,-1,100.0,[0],[0],0.754,24.0
0,-1,-1,0.0,[0],[1],0.7072666666666667,25.0
0,-1,-1,0.0,[0],[1],0.7404,26.0
0,-1,-1,100.0,[0],[0],0.7178,27.0
0,-1,-1,100.0,[0],[0],0.4933303703703703,28.0
0,-1,-1,100.0,[0],[0],0.5544948148148148,29.0
0,-1,-1,0.0,[0],[1],0.565274074074074,30.0
0,-1,-1,0.0,[0],[1],0.7371333333333333,31.0
0,-1,-1,100.0,[0],[0],0.7549333333333333,32.0
0,-1,-1,100.0,[0],[0],0.6207333333333334,33.0
0,-1,-1,100.0,[0],[0],0.6785566666666667,34.0
0,-1,-1,0.0,[0],[1],0.7794,35.0
0,-1,-1,0.0,[0],[1],0.7492666666666666,36.0
0,-1,-1,100.0,[0],[0],0.7212666666666666,37.0
0,-1,-1,100.0,[0],[0],0.5044581481481482,38.0
0,-1,-1,0.0,[0],[1],0.5067777777777778,39.0
0,-1,-1,100.0,[0],[0],0.693402962962963,40.0
0,-1,-1,100.0,[0],[0],0.7363333333333333,41.0
0,-1,-1,0.0,[0],[1],0.7532,42.0
0,-1,-1,100.0,[0],[0],0.6556,43.0
0,-1,-1,100.0,[0],[0],0.634,44.0
0,-1,-1,0.0,[0],[1],0.6596937037037037,45.0
