,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5451225925925925,0.0
0,-1,-1,100.0,[0],[0],0.6603744444444445,1.0
0,-1,-1,100.0,[0],[0],0.5105862962962963,2.0
0,-1,-1,100.0,[0],[0],0.4599496296296296,3.0
0,-1,-1,100.0,[0],[0],0.6070751851851852,4.0
0,-1,-1,100.0,[0],[0],0.6660388888888888,5.0
0,-1,-1,100.0,[0],[0],0.4422137037037037,6.0
0,-1,-1,100.0,[0],[0],0.6542407407407408,7.0
0,-1,-1,100.0,[0],[0],0.6364385185185185,8.0
0,-1,-1,100.0,[0],[0],0.5599325925925925,9.0
0,-1,-1,100.0,[0],[0],0.5772866666666666,10.0
0,-1,-1,100.0,[0],[0],0.5321366666666667,11.0
0,-1,-1,100.0,[0],[0],0.6635792592592593,12.0
0,-1,-1,100.0,[0],[0],0.4984885185185185,13.0
0,-1,-1,100.0,[0],[0],0.5656866666666667,14.0
0,-1,-1,100.0,[0],[0],0.6144133333333334,15.0
0,-1,-1,100.0,[0],[0],0.6678881481481481,16.0
0,-1,-1,100.0,[0],[0],0.6581259259259259,17.0
0,-1,-1,0.0,[0],[1],0.3743374074074074,18.0
0,-1,-1,0.0,[0],[1],0.6644533333333333,19.0
0,-1,-1,100.0,[0],[0],0.6919855555555555,20.0
0,-1,-1,100.0,[0],[0],0.5022777777777778,21.0
0,-1,-1,100.0,[0],[0],0.6617607407407408,22.0
0,-1,-1,0.0,[0],[1],0.7265751851851852,23.0
0,-1,-1,100.0,[0],[0],0.6750518518518519,24.0
0,-1,-1,0.0,[0],[1],0.60556,25.0
0,-1,-1,0.0,[0],[1],0.6932703703703704,26.0
0,-1,-1,100.0,[0],[0],0.6766351851851852,27.0
0,-1,-1,100.0,[0],[0],0.2974944444444444,28.0
0,-1,-1,100.0,[0],[0],0.4024692592592592,29.0
0,-1,-1,0.0,[0],[1],0.3783037037037037,30.0
0,-1,-1,0.0,[0],[1],0.6980788888888889,31.0
0,-1,-1,100.0,[0],[0],0.6674314814814815,32.0
0,-1,-1,100.0,[0],[0],0.5961751851851852,33.0
0,-1,-1,100.0,[0],[0],0.5448818518518519,34.0
0,-1,-1,0.0,[0],[1],0.687327037037037,35.0
0,-1,-1,0.0,[0],[1],0.7182644444444445,36.0
0,-1,-1,100.0,[0],[0],0.6451388888888889,37.0
0,-1,-1,100.0,[0],[0],0.2958111111111111,38.0
0,-1,-1,0.0,[0],[1],0.3337374074074074,39.0
0,-1,-1,100.0,[0],[0],0.6996044444444445,40.0
0,-1,-1,100.0,[0],[0],0.6829859259259259,41.0
0,-1,-1,0.0,[0],[1],0.5524407407407408,42.0
0,-1,-1,100.0,[0],[0],0.628797037037037,43.0
0,-1,-1,100.0,[0],[0],0.6693885185185185,44.0
0,-1,-1,0.0,[0],[1],0.5524048148148148,45.0
