,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.038345,0.0
0,-1,-1,100.0,[0],[0],0.038345,0.0
0,-1,-1,100.0,[0],[0],0.038345,0.0
0,-1,-1,100.0,[0],[0],0.038345,0.0
0,-1,-1,100.0,[0],[0],0.0586866666666666,1.0
0,-1,-1,100.0,[0],[0],0.0454633333333333,2.0
0,-1,-1,100.0,[0],[0],0.05627,3.0
0,-1,-1,100.0,[0],[0],0.03503,4.0
0,-1,-1,100.0,[0],[0],0.0644333333333333,5.0
0,-1,-1,100.0,[0],[0],0.0337333333333333,6.0
0,-1,-1,100.0,[0],[0],0.0537483333333333,7.0
0,-1,-1,100.0,[0],[0],0.05106,8.0
0,-1,-1,100.0,[0],[0],0.0762383333333333,9.0
0,-1,-1,0.0,[1],[0],0.060225,10.0
0,-1,-1,100.0,[0],[0],0.043315,11.0
0,-1,-1,0.0,[1],[0],0.0722866666666666,12.0
0,-1,-1,100.0,[0],[0],0.037525,13.0
0,-1,-1,100.0,[0],[0],0.068975,14.0
0,-1,-1,100.0,[0],[0],0.0412383333333333,15.0
0,-1,-1,0.0,[1],[0],0.0996333333333333,16.0
0,-1,-1,0.0,[1],[0],0.101165,17.0
0,-1,-1,0.0,[0],[1],0.0689283333333333,18.0
0,-1,-1,100.0,[1],[1],0.06666,19.0
0,-1,-1,0.0,[1],[0],0.1139766666666666,20.0
0,-1,-1,100.0,[0],[0],0.0850883333333333,21.0
0,-1,-1,100.0,[0],[0],0.0651433333333333,22.0
0,-1,-1,0.0,[0],[1],0.038825,23.0
0,-1,-1,0.0,[1],[0],0.047105,24.0
0,-1,-1,0.0,[0],[1],0.1021366666666666,25.0
0,-1,-1,100.0,[1],[1],0.0859583333333333,26.0
0,-1,-1,100.0,[0],[0],0.05454,27.0
0,-1,-1,100.0,[0],[0],0.024935,28.0
0,-1,-1,100.0,[0],[0],0.0527883333333333,29.0
0,-1,-1,100.0,[1],[1],0.0688933333333333,30.0
0,-1,-1,0.0,[0],[1],0.08266,31.0
0,-1,-1,100.0,[0],[0],0.0671133333333333,32.0
0,-1,-1,100.0,[0],[0],0.035335,33.0
0,-1,-1,100.0,[0],[0],0.0334966666666666,34.0
0,-1,-1,100.0,[1],[1],0.1259383333333333,35.0
0,-1,-1,0.0,[0],[1],0.0897566666666666,36.0
0,-1,-1,0.0,[1],[0],0.1026033333333333,37.0
0,-1,-1,100.0,[0],[0],0.0372133333333333,38.0
0,-1,-1,0.0,[0],[1],0.06587,39.0
0,-1,-1,0.0,[1],[0],0.108245,40.0
0,-1,-1,0.0,[1],[0],0.1176366666666666,41.0
0,-1,-1,100.0,[1],[1],0.1159183333333333,42.0
0,-1,-1,0.0,[1],[0],0.1046283333333333,43.0
0,-1,-1,100.0,[0],[0],0.06867,44.0
0,-1,-1,100.0,[1],[1],0.068365,45.0
