,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.4140605555555555,0.0
0,-1,-1,100.0,[0],[0],0.4798111111111111,1.0
0,-1,-1,100.0,[0],[0],0.3770255555555555,2.0
0,-1,-1,100.0,[0],[0],0.3471172222222222,3.0
0,-1,-1,100.0,[0],[0],0.4440527777777778,4.0
0,-1,-1,100.0,[0],[0],0.500685,5.0
0,-1,-1,100.0,[0],[0],0.3361188888888889,6.0
0,-1,-1,0.0,[1],[0],0.4931322222222222,7.0
0,-1,-1,100.0,[0],[0],0.4683433333333333,8.0
0,-1,-1,100.0,[0],[0],0.4131,9.0
0,-1,-1,100.0,[0],[0],0.4207761111111111,10.0
0,-1,-1,100.0,[0],[0],0.40184,11.0
0,-1,-1,0.0,[1],[0],0.50857,12.0
0,-1,-1,0.0,[1],[0],0.3717227777777778,13.0
0,-1,-1,100.0,[0],[0],0.4370338888888889,14.0
0,-1,-1,100.0,[0],[0],0.4669972222222222,15.0
0,-1,-1,0.0,[1],[0],0.4846194444444444,16.0
0,-1,-1,100.0,[0],[0],0.5114488888888888,17.0
0,-1,-1,0.0,[0],[1],0.28341555555555553,18.0
