,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.4171427777777777,0.0
0,-1,-1,0.0,[1],[0],0.4840880555555555,1.0
0,-1,-1,100.0,[0],[0],0.3858652777777778,2.0
0,-1,-1,100.0,[0],[0],0.3484447222222222,3.0
0,-1,-1,100.0,[0],[0],0.44856,4.0
0,-1,-1,100.0,[0],[0],0.5102911111111111,5.0
0,-1,-1,100.0,[0],[0],0.3319175,6.0
0,-1,-1,100.0,[0],[0],0.4986616666666666,7.0
0,-1,-1,100.0,[0],[0],0.4818633333333333,8.0
0,-1,-1,0.0,[1],[0],0.4288044444444444,9.0
0,-1,-1,100.0,[0],[0],0.419825,10.0
0,-1,-1,100.0,[0],[0],0.3951880555555555,11.0
0,-1,-1,0.0,[1],[0],0.5089405555555555,12.0
0,-1,-1,100.0,[0],[0],0.37951,13.0
0,-1,-1,100.0,[0],[0],0.4235297222222222,14.0
0,-1,-1,100.0,[0],[0],0.4719827777777777,15.0
0,-1,-1,0.0,[1],[0],0.4928202777777777,16.0
0,-1,-1,100.0,[0],[0],0.5075058333333333,17.0
0,-1,-1,0.0,[0],[1],0.2839122222222222,18.0
0,-1,-1,0.0,[0],[1],0.4973205555555555,19.0
0,-1,-1,100.0,[0],[0],0.5312972222222222,20.0
0,-1,-1,100.0,[0],[0],0.3797225,21.0
0,-1,-1,100.0,[0],[0],0.49200555555555553,22.0
