fold,sparsity
0,0.5001094444444445
1,0.6436
2,0.5770452777777778
3,0.5070455555555555
4,0.6426666666666667
5,0.6494666666666666
6,0.5062811111111111
7,0.6342
8,0.6999333333333333
9,0.6012666666666666
10,0.6576
11,0.54151
12,0.6935269444444444
13,0.5051391666666667
14,0.5693688888888889
15,0.6132666666666666
16,0.6925333333333333
17,0.6409836111111111
18,0.34647055555555556
19,0.6870666666666667
20,0.6342
21,0.5392555555555556
22,0.6061333333333333
23,0.6443558333333333
24,0.6444666666666666
25,0.5938
26,0.6407333333333334
27,0.6419580555555555
28,0.40368777777777776
29,0.4110727777777778
30,0.3949727777777778
31,0.6777333333333333
32,0.6346666666666667
33,0.5992
34,0.5230483333333333
35,0.6634
