,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.7273875925925926,0.0
0,-1,-1,0.0,[1],[0],0.8563333333333333,1.0
0,-1,-1,0.0,[1],[0],0.7420740740740741,2.0
0,-1,-1,100.0,[0],[0],0.7362888888888889,3.0
0,-1,-1,0.0,[1],[0],0.8757333333333334,4.0
0,-1,-1,0.0,[1],[0],0.8890666666666667,5.0
0,-1,-1,0.0,[1],[0],0.7306416666666666,6.0
0,-1,-1,100.0,[0],[0],0.8775333333333334,7.0
0,-1,-1,0.0,[1],[0],0.8914,8.0
0,-1,-1,100.0,[0],[0],0.8287333333333333,9.0
0,-1,-1,0.0,[1],[0],0.8648666666666667,10.0
0,-1,-1,0.0,[1],[0],0.7549018518518519,11.0
0,-1,-1,0.0,[1],[0],0.8824,12.0
0,-1,-1,0.0,[1],[0],0.7523044444444444,13.0
0,-1,-1,0.0,[1],[0],0.8614666666666667,14.0
0,-1,-1,0.0,[1],[0],0.8812666666666666,15.0
0,-1,-1,0.0,[1],[0],0.8690666666666667,16.0
0,-1,-1,100.0,[0],[0],0.8992666666666667,17.0
0,-1,-1,100.0,[1],[1],0.6058444444444444,18.0
0,-1,-1,100.0,[1],[1],0.8812666666666666,19.0
0,-1,-1,0.0,[1],[0],0.8785333333333334,20.0
0,-1,-1,100.0,[0],[0],0.7401455555555555,21.0
0,-1,-1,0.0,[1],[0],0.8711333333333333,22.0
0,-1,-1,100.0,[1],[1],0.854,23.0
0,-1,-1,0.0,[1],[0],0.8388,24.0
0,-1,-1,100.0,[1],[1],0.8303333333333334,25.0
0,-1,-1,100.0,[1],[1],0.8709333333333333,26.0
0,-1,-1,0.0,[1],[0],0.8594,27.0
0,-1,-1,0.0,[1],[0],0.5301725925925926,28.0
0,-1,-1,0.0,[1],[0],0.5889981481481481,29.0
0,-1,-1,0.0,[0],[1],0.6144237037037037,30.0
0,-1,-1,100.0,[1],[1],0.8922666666666667,31.0
0,-1,-1,0.0,[1],[0],0.8671333333333333,32.0
0,-1,-1,0.0,[1],[0],0.8437333333333333,33.0
0,-1,-1,0.0,[1],[0],0.7284327777777778,34.0
0,-1,-1,100.0,[1],[1],0.865,35.0
0,-1,-1,100.0,[1],[1],0.8549333333333333,36.0
0,-1,-1,0.0,[1],[0],0.8718,37.0
0,-1,-1,0.0,[1],[0],0.5787681481481481,38.0
0,-1,-1,100.0,[1],[1],0.6271025925925926,39.0
0,-1,-1,0.0,[1],[0],0.8652666666666666,40.0
0,-1,-1,0.0,[1],[0],0.8558666666666667,41.0
0,-1,-1,100.0,[1],[1],0.863,42.0
0,-1,-1,0.0,[1],[0],0.8444666666666667,43.0
0,-1,-1,0.0,[1],[0],0.7064,44.0
0,-1,-1,0.0,[0],[1],0.5758111111111112,45.0
