,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0382394444444444,0.0
0,-1,-1,100.0,[0],[0],0.0584455555555555,1.0
0,-1,-1,100.0,[0],[0],0.0454472222222222,2.0
0,-1,-1,100.0,[0],[0],0.05616,3.0
0,-1,-1,100.0,[0],[0],0.0351883333333333,4.0
0,-1,-1,100.0,[0],[0],0.0645811111111111,5.0
0,-1,-1,100.0,[0],[0],0.0333816666666666,6.0
0,-1,-1,100.0,[0],[0],0.0535705555555555,7.0
0,-1,-1,100.0,[0],[0],0.0511444444444444,8.0
0,-1,-1,100.0,[0],[0],0.0764144444444444,9.0
0,-1,-1,0.0,[1],[0],0.0607388888888888,10.0
0,-1,-1,100.0,[0],[0],0.0431105555555555,11.0
0,-1,-1,0.0,[1],[0],0.0722383333333333,12.0
0,-1,-1,0.0,[1],[0],0.0380194444444444,13.0
0,-1,-1,100.0,[0],[0],0.0691911111111111,14.0
0,-1,-1,100.0,[0],[0],0.0412883333333333,15.0
0,-1,-1,0.0,[1],[0],0.0997833333333333,16.0
0,-1,-1,0.0,[1],[0],0.1002811111111111,17.0
0,-1,-1,0.0,[0],[1],0.0694811111111111,18.0
0,-1,-1,100.0,[1],[1],0.0664305555555555,19.0
0,-1,-1,0.0,[1],[0],0.1135183333333333,20.0
0,-1,-1,100.0,[0],[0],0.084975,21.0
0,-1,-1,100.0,[0],[0],0.0647677777777777,22.0
0,-1,-1,0.0,[0],[1],0.0388722222222222,23.0
0,-1,-1,0.0,[1],[0],0.0471533333333333,24.0
0,-1,-1,100.0,[1],[1],0.1020827777777777,25.0
0,-1,-1,100.0,[1],[1],0.0861505555555555,26.0
0,-1,-1,100.0,[0],[0],0.0545927777777777,27.0
0,-1,-1,100.0,[0],[0],0.0249205555555555,28.0
0,-1,-1,100.0,[0],[0],0.0529566666666666,29.0
0,-1,-1,0.0,[0],[1],0.0692244444444444,30.0
0,-1,-1,100.0,[1],[1],0.08232,31.0
0,-1,-1,100.0,[0],[0],0.0674577777777777,32.0
0,-1,-1,100.0,[0],[0],0.035535,33.0
0,-1,-1,100.0,[0],[0],0.0333005555555555,34.0
0,-1,-1,100.0,[1],[1],0.12597,35.0
0,-1,-1,100.0,[1],[1],0.0905327777777777,36.0
0,-1,-1,0.0,[1],[0],0.10251,37.0
0,-1,-1,100.0,[0],[0],0.03741,38.0
0,-1,-1,0.0,[0],[1],0.0658794444444444,39.0
0,-1,-1,0.0,[1],[0],0.1086177777777777,40.0
0,-1,-1,0.0,[1],[0],0.1171655555555555,41.0
0,-1,-1,0.0,[0],[1],0.1163305555555555,42.0
0,-1,-1,0.0,[1],[0],0.1043294444444444,43.0
0,-1,-1,0.0,[1],[0],0.0684322222222222,44.0
0,-1,-1,100.0,[1],[1],0.06906222222222222,45.0
