,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.49019,0.0
0,-1,-1,100.0,[0],[0],0.5978733333333334,1.0
0,-1,-1,100.0,[0],[0],0.45943,2.0
0,-1,-1,100.0,[0],[0],0.4129855555555555,3.0
0,-1,-1,100.0,[0],[0],0.5076444444444445,4.0
0,-1,-1,100.0,[0],[0],0.6056011111111111,5.0
0,-1,-1,100.0,[0],[0],0.4046733333333333,6.0
0,-1,-1,0.0,[1],[0],0.5882922222222222,7.0
0,-1,-1,0.0,[1],[0],0.5702955555555556,8.0
0,-1,-1,0.0,[1],[0],0.5025644444444445,9.0
0,-1,-1,100.0,[0],[0],0.50937,10.0
0,-1,-1,100.0,[0],[0],0.4824355555555555,11.0
0,-1,-1,0.0,[1],[0],0.6056033333333334,12.0
0,-1,-1,100.0,[0],[0],0.4479544444444444,13.0
0,-1,-1,100.0,[0],[0],0.51532,14.0
0,-1,-1,0.0,[1],[0],0.5493833333333333,15.0
0,-1,-1,0.0,[1],[0],0.5978355555555556,16.0
0,-1,-1,100.0,[0],[0],0.5968033333333334,17.0
0,-1,-1,100.0,[1],[1],0.3416644444444444,18.0
0,-1,-1,100.0,[1],[1],0.6006788888888889,19.0
0,-1,-1,100.0,[0],[0],0.6382877777777778,20.0
0,-1,-1,100.0,[0],[0],0.4418355555555555,21.0
0,-1,-1,0.0,[1],[0],0.6031588888888889,22.0
0,-1,-1,100.0,[1],[1],0.6783155555555556,23.0
0,-1,-1,100.0,[0],[0],0.6358666666666667,24.0
0,-1,-1,0.0,[0],[1],0.5719322222222222,25.0
0,-1,-1,0.0,[0],[1],0.62886,26.0
0,-1,-1,100.0,[0],[0],0.5930422222222222,27.0
0,-1,-1,100.0,[0],[0],0.2773222222222222,28.0
0,-1,-1,0.0,[1],[0],0.3775322222222222,29.0
0,-1,-1,100.0,[1],[1],0.3527088888888889,30.0
0,-1,-1,0.0,[0],[1],0.6511977777777778,31.0
0,-1,-1,100.0,[0],[0],0.6076811111111111,32.0
0,-1,-1,100.0,[0],[0],0.5281666666666667,33.0
0,-1,-1,0.0,[1],[0],0.50085,34.0
0,-1,-1,0.0,[0],[1],0.6414711111111111,35.0
0,-1,-1,100.0,[1],[1],0.6573188888888889,36.0
0,-1,-1,0.0,[1],[0],0.61529,37.0
0,-1,-1,100.0,[0],[0],0.2721222222222222,38.0
0,-1,-1,0.0,[0],[1],0.3000355555555555,39.0
0,-1,-1,100.0,[0],[0],0.6385244444444445,40.0
0,-1,-1,0.0,[1],[0],0.60242,41.0
0,-1,-1,0.0,[0],[1],0.4733155555555555,42.0
0,-1,-1,0.0,[1],[0],0.58552,43.0
0,-1,-1,0.0,[1],[0],0.6164677777777777,44.0
0,-1,-1,0.0,[0],[1],0.5121733333333334,45.0
