,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.2735933333333333,0.0
0,-1,-1,0.0,[1],[0],0.3502833333333333,1.0
0,-1,-1,0.0,[1],[0],0.3368866666666666,2.0
0,-1,-1,0.0,[1],[0],0.3184133333333333,3.0
0,-1,-1,0.0,[1],[0],0.3470666666666667,4.0
0,-1,-1,0.0,[1],[0],0.31212,5.0
0,-1,-1,0.0,[1],[0],0.28879,6.0
0,-1,-1,0.0,[1],[0],0.4338233333333333,7.0
0,-1,-1,0.0,[1],[0],0.3858966666666666,8.0
0,-1,-1,0.0,[1],[0],0.2582833333333333,9.0
0,-1,-1,0.0,[1],[0],0.3381333333333333,10.0
0,-1,-1,0.0,[1],[0],0.2853766666666666,11.0
0,-1,-1,0.0,[1],[0],0.3361333333333333,12.0
0,-1,-1,100.0,[0],[0],0.2791433333333333,13.0
0,-1,-1,100.0,[0],[0],0.3347933333333333,14.0
0,-1,-1,0.0,[1],[0],0.26112,15.0
0,-1,-1,0.0,[1],[0],0.3568666666666666,16.0
0,-1,-1,0.0,[1],[0],0.2895466666666667,17.0
0,-1,-1,0.0,[0],[1],0.2322333333333333,18.0
0,-1,-1,100.0,[1],[1],0.3564633333333333,19.0
0,-1,-1,0.0,[1],[0],0.3453333333333333,20.0
0,-1,-1,0.0,[1],[0],0.2681466666666666,21.0
0,-1,-1,0.0,[1],[0],0.317,22.0
0,-1,-1,100.0,[1],[1],0.3796,23.0
0,-1,-1,0.0,[1],[0],0.324,24.0
0,-1,-1,100.0,[1],[1],0.30508,25.0
0,-1,-1,100.0,[1],[1],0.3316666666666666,26.0
0,-1,-1,100.0,[0],[0],0.44507,27.0
0,-1,-1,0.0,[1],[0],0.26065,28.0
0,-1,-1,0.0,[1],[0],0.22508,29.0
0,-1,-1,0.0,[0],[1],0.23035,30.0
0,-1,-1,0.0,[0],[1],0.3416533333333333,31.0
0,-1,-1,0.0,[1],[0],0.3676666666666666,32.0
0,-1,-1,0.0,[1],[0],0.3542866666666667,33.0
0,-1,-1,0.0,[1],[0],0.3560133333333333,34.0
0,-1,-1,100.0,[1],[1],0.281,35.0
0,-1,-1,100.0,[1],[1],0.3167333333333333,36.0
0,-1,-1,0.0,[1],[0],0.3014233333333333,37.0
0,-1,-1,0.0,[1],[0],0.2390633333333333,38.0
0,-1,-1,100.0,[1],[1],0.4075933333333333,39.0
0,-1,-1,0.0,[1],[0],0.5269633333333333,40.0
0,-1,-1,0.0,[1],[0],0.4132333333333333,41.0
0,-1,-1,100.0,[1],[1],0.3499433333333333,42.0
0,-1,-1,0.0,[1],[0],0.6294866666666666,43.0
0,-1,-1,0.0,[1],[0],0.4596766666666667,44.0
0,-1,-1,100.0,[1],[1],0.4374633333333333,45.0
