,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.00384,0.0
0,-1,-1,100.0,[0],[0],0.0066266666666666,1.0
0,-1,-1,100.0,[0],[0],0.0071933333333333,2.0
0,-1,-1,100.0,[0],[0],0.00554,3.0
0,-1,-1,100.0,[0],[0],0.00365,4.0
0,-1,-1,100.0,[0],[0],0.0071,5.0
0,-1,-1,100.0,[0],[0],0.00146,6.0
0,-1,-1,100.0,[0],[0],0.0052333333333333,7.0
0,-1,-1,100.0,[0],[0],0.0050566666666666,8.0
0,-1,-1,100.0,[0],[0],0.00778,9.0
0,-1,-1,0.0,[1],[0],0.01,10.0
0,-1,-1,100.0,[0],[0],0.0033933333333333,11.0
0,-1,-1,0.0,[1],[0],0.01172,12.0
0,-1,-1,100.0,[0],[0],0.00397,13.0
0,-1,-1,100.0,[0],[0],0.00753,14.0
0,-1,-1,100.0,[0],[0],0.0048366666666666,15.0
0,-1,-1,0.0,[1],[0],0.0179,16.0
0,-1,-1,0.0,[1],[0],0.0102266666666666,17.0
0,-1,-1,0.0,[0],[1],0.0070533333333333,18.0
0,-1,-1,0.0,[0],[1],0.00793,19.0
0,-1,-1,100.0,[0],[0],0.0107766666666666,20.0
0,-1,-1,100.0,[0],[0],0.0149366666666666,21.0
0,-1,-1,100.0,[0],[0],0.0090433333333333,22.0
0,-1,-1,0.0,[0],[1],0.0023833333333333,23.0
0,-1,-1,100.0,[0],[0],0.0028566666666666,24.0
0,-1,-1,0.0,[0],[1],0.00891,25.0
0,-1,-1,0.0,[0],[1],0.0082933333333333,26.0
0,-1,-1,100.0,[0],[0],0.0044066666666666,27.0
0,-1,-1,100.0,[0],[0],0.0042,28.0
0,-1,-1,100.0,[0],[0],0.00518,29.0
0,-1,-1,100.0,[1],[1],0.0122466666666666,30.0
0,-1,-1,0.0,[0],[1],0.0071666666666666,31.0
0,-1,-1,100.0,[0],[0],0.00193,32.0
0,-1,-1,100.0,[0],[0],0.0016,33.0
0,-1,-1,0.0,[1],[0],0.0030133333333333,34.0
0,-1,-1,0.0,[0],[1],0.0128533333333333,35.0
0,-1,-1,0.0,[0],[1],0.0076833333333333,36.0
0,-1,-1,100.0,[0],[0],0.00947,37.0
0,-1,-1,100.0,[0],[0],0.0053933333333333,38.0
0,-1,-1,100.0,[1],[1],0.0091933333333333,39.0
0,-1,-1,0.0,[1],[0],0.0168833333333333,40.0
0,-1,-1,0.0,[1],[0],0.0164033333333333,41.0
0,-1,-1,100.0,[1],[1],0.0137466666666666,42.0
0,-1,-1,100.0,[0],[0],0.0063133333333333,43.0
0,-1,-1,100.0,[0],[0],0.0062866666666666,44.0
0,-1,-1,0.0,[0],[1],0.0032533333333333333,45.0
