,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5459922222222222,0.0
0,-1,-1,100.0,[0],[0],0.6620666666666667,1.0
0,-1,-1,100.0,[0],[0],0.5641422222222222,2.0
0,-1,-1,100.0,[0],[0],0.5345044444444444,3.0
0,-1,-1,100.0,[0],[0],0.5748,4.0
0,-1,-1,100.0,[0],[0],0.63,5.0
0,-1,-1,100.0,[0],[0],0.4357833333333333,6.0
0,-1,-1,100.0,[0],[0],0.6777333333333333,7.0
0,-1,-1,100.0,[0],[0],0.6285333333333334,8.0
0,-1,-1,100.0,[0],[0],0.6068,9.0
0,-1,-1,100.0,[0],[0],0.64085,10.0
0,-1,-1,0.0,[1],[0],0.5771077777777778,11.0
0,-1,-1,100.0,[0],[0],0.6864666666666667,12.0
0,-1,-1,100.0,[0],[0],0.5216222222222222,13.0
0,-1,-1,100.0,[0],[0],0.5376922222222222,14.0
0,-1,-1,100.0,[0],[0],0.6261333333333333,15.0
0,-1,-1,100.0,[0],[0],0.6542666666666667,16.0
0,-1,-1,0.0,[1],[0],0.6488733333333333,17.0
0,-1,-1,0.0,[0],[1],0.4051777777777778,18.0
0,-1,-1,0.0,[0],[1],0.6116,19.0
0,-1,-1,100.0,[0],[0],0.6820666666666667,20.0
0,-1,-1,100.0,[0],[0],0.4842977777777777,21.0
0,-1,-1,100.0,[0],[0],0.6477333333333334,22.0
0,-1,-1,0.0,[0],[1],0.6792,23.0
0,-1,-1,0.0,[1],[0],0.5924355555555556,24.0
0,-1,-1,0.0,[0],[1],0.6198,25.0
0,-1,-1,0.0,[0],[1],0.6554666666666666,26.0
0,-1,-1,100.0,[0],[0],0.6795333333333333,27.0
0,-1,-1,100.0,[0],[0],0.4316933333333333,28.0
0,-1,-1,100.0,[0],[0],0.3929977777777778,29.0
0,-1,-1,0.0,[0],[1],0.3947733333333333,30.0
0,-1,-1,0.0,[0],[1],0.6303333333333333,31.0
0,-1,-1,100.0,[0],[0],0.6452666666666667,32.0
0,-1,-1,0.0,[1],[0],0.6325333333333333,33.0
0,-1,-1,100.0,[0],[0],0.5278255555555555,34.0
0,-1,-1,0.0,[0],[1],0.6899333333333333,35.0
0,-1,-1,0.0,[0],[1],0.6078955555555555,36.0
0,-1,-1,100.0,[0],[0],0.6560666666666667,37.0
0,-1,-1,0.0,[1],[0],0.3498488888888889,38.0
0,-1,-1,0.0,[0],[1],0.3996,39.0
0,-1,-1,100.0,[0],[0],0.6276,40.0
0,-1,-1,100.0,[0],[0],0.6174666666666667,41.0
0,-1,-1,0.0,[0],[1],0.6582,42.0
0,-1,-1,100.0,[0],[0],0.6339333333333333,43.0
0,-1,-1,100.0,[0],[0],0.674,44.0
0,-1,-1,0.0,[0],[1],0.5294477777777777,45.0
