fold,sparsity
0,0.00384
1,0.006626666666666667
2,0.007193333333333334
3,0.00554
4,0.00365
5,0.0071
6,0.00146
7,0.005233333333333334
8,0.005056666666666667
9,0.00778
10,0.01
11,0.0033933333333333333
12,0.01172
13,0.00397
14,0.00753
15,0.004836666666666667
16,0.0179
17,0.010226666666666667
18,0.007053333333333333
19,0.00793
20,0.010776666666666667
21,0.014936666666666666
22,0.009043333333333334
23,0.0023833333333333332
24,0.0028566666666666666
25,0.00891
26,0.008293333333333333
27,0.004406666666666666
28,0.0042
29,0.00518
30,0.012246666666666666
31,0.007166666666666667
32,0.00193
33,0.0016
34,0.003013333333333333
35,0.012853333333333333
36,0.007683333333333334
37,0.00947
38,0.005393333333333333
39,0.009193333333333333
40,0.016883333333333334
41,0.016403333333333332
42,0.013746666666666667
43,0.006313333333333333
44,0.006286666666666667
45,0.0032533333333333333
