,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5923666666666667,7.0
0,-1,-1,0.0,[1],[0],0.5786188888888889,8.0
0,-1,-1,100.0,[0],[0],0.4800388888888889,0.0
0,-1,-1,0.0,[1],[0],0.5023011111111111,9.0
0,-1,-1,100.0,[0],[0],0.5901622222222223,1.0
0,-1,-1,100.0,[0],[0],0.5080444444444444,10.0
0,-1,-1,100.0,[0],[0],0.4627822222222222,2.0
0,-1,-1,100.0,[0],[0],0.48121,11.0
0,-1,-1,100.0,[0],[0],0.4122755555555555,3.0
0,-1,-1,0.0,[1],[0],0.6043577777777778,12.0
0,-1,-1,100.0,[0],[0],0.5021433333333334,4.0
0,-1,-1,100.0,[0],[0],0.4379266666666667,13.0
0,-1,-1,100.0,[0],[0],0.6007544444444445,5.0
0,-1,-1,100.0,[0],[0],0.5051255555555556,14.0
0,-1,-1,100.0,[0],[0],0.5921755555555556,16.0
0,-1,-1,100.0,[0],[0],0.40506,6.0
0,-1,-1,100.0,[0],[0],0.5932,15.0
0,-1,-1,100.0,[1],[1],0.5664322222222222,25.0
0,-1,-1,0.0,[1],[0],0.6420177777777778,17.0
0,-1,-1,0.0,[1],[0],0.4956644444444444,34.0
0,-1,-1,0.0,[1],[0],0.5952711111111111,43.0
0,-1,-1,0.0,[0],[1],0.6250333333333333,26.0
0,-1,-1,100.0,[1],[1],0.6268933333333333,35.0
0,-1,-1,100.0,[1],[1],0.3467333333333333,18.0
0,-1,-1,100.0,[0],[0],0.6204188888888889,44.0
0,-1,-1,0.0,[1],[0],0.5899733333333333,27.0
0,-1,-1,100.0,[1],[1],0.5948644444444444,19.0
0,-1,-1,100.0,[1],[1],0.7406622222222222,36.0
0,-1,-1,0.0,[0],[1],0.5379544444444444,45.0
0,-1,-1,100.0,[0],[0],0.2730311111111111,28.0
0,-1,-1,100.0,[0],[0],0.6345244444444444,20.0
0,-1,-1,0.0,[1],[0],0.6512888888888889,37.0
0,-1,-1,0.0,[1],[0],0.3817644444444444,29.0
0,-1,-1,100.0,[0],[0],0.4608888888888889,21.0
0,-1,-1,100.0,[0],[0],0.2627755555555555,38.0
0,-1,-1,100.0,[1],[1],0.3491333333333333,30.0
0,-1,-1,100.0,[0],[0],0.6067344444444445,22.0
0,-1,-1,0.0,[0],[1],0.3045822222222222,39.0
0,-1,-1,0.0,[0],[1],0.6314477777777778,31.0
0,-1,-1,100.0,[0],[0],0.6285566666666667,40.0
0,-1,-1,100.0,[1],[1],0.68465,23.0
0,-1,-1,100.0,[0],[0],0.5932733333333333,32.0
0,-1,-1,100.0,[0],[0],0.6358233333333333,24.0
0,-1,-1,100.0,[0],[0],0.60735,41.0
0,-1,-1,100.0,[0],[0],0.5171477777777778,33.0
0,-1,-1,0.0,[0],[1],0.47288444444444444,42.0
