,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.7887622222222223,7.0
0,-1,-1,0.0,[1],[0],0.8138066666666667,16.0
0,-1,-1,100.0,[0],[0],0.76586,8.0
0,-1,-1,100.0,[0],[0],0.7862533333333334,17.0
0,-1,-1,100.0,[0],[0],0.6496911111111111,0.0
0,-1,-1,0.0,[1],[0],0.6744677777777778,9.0
0,-1,-1,0.0,[0],[1],0.73332,25.0
0,-1,-1,100.0,[1],[1],0.4519622222222222,18.0
0,-1,-1,100.0,[0],[0],0.8009377777777777,1.0
0,-1,-1,100.0,[1],[1],0.8009444444444445,19.0
0,-1,-1,100.0,[0],[0],0.7027055555555556,10.0
0,-1,-1,0.0,[0],[1],0.8368677777777778,26.0
0,-1,-1,0.0,[1],[0],0.61689,2.0
0,-1,-1,100.0,[0],[0],0.6384077777777778,11.0
0,-1,-1,100.0,[0],[0],0.8378877777777778,20.0
0,-1,-1,100.0,[0],[0],0.811,27.0
0,-1,-1,100.0,[0],[0],0.5514788888888889,3.0
0,-1,-1,0.0,[1],[0],0.7987477777777777,12.0
0,-1,-1,100.0,[0],[0],0.6010766666666667,21.0
0,-1,-1,100.0,[0],[0],0.7147422222222222,4.0
0,-1,-1,0.0,[1],[0],0.3570688888888889,28.0
0,-1,-1,0.0,[1],[0],0.5942922222222222,13.0
0,-1,-1,100.0,[0],[0],0.4844277777777778,29.0
0,-1,-1,0.0,[1],[0],0.7988888888888889,22.0
0,-1,-1,0.0,[1],[0],0.8018644444444445,5.0
0,-1,-1,100.0,[1],[1],0.4558355555555555,30.0
0,-1,-1,100.0,[0],[0],0.6799122222222223,14.0
0,-1,-1,0.0,[0],[1],0.8744444444444445,23.0
0,-1,-1,0.0,[0],[1],0.8394966666666667,31.0
0,-1,-1,100.0,[0],[0],0.5304977777777777,6.0
0,-1,-1,100.0,[0],[0],0.73311,15.0
0,-1,-1,0.0,[1],[0],0.6546011111111111,34.0
0,-1,-1,100.0,[0],[0],0.8319611111111112,24.0
0,-1,-1,100.0,[0],[0],0.8005788888888888,32.0
0,-1,-1,0.0,[1],[0],0.7650866666666667,43.0
0,-1,-1,0.0,[0],[1],0.8308144444444444,35.0
0,-1,-1,100.0,[0],[0],0.8002566666666666,44.0
0,-1,-1,100.0,[0],[0],0.7112888888888889,33.0
0,-1,-1,100.0,[1],[1],0.8623211111111111,36.0
0,-1,-1,0.0,[0],[1],0.6665088888888889,45.0
0,-1,-1,0.0,[1],[0],0.7847266666666667,37.0
0,-1,-1,100.0,[0],[0],0.3531533333333333,38.0
0,-1,-1,0.0,[0],[1],0.3996355555555556,39.0
0,-1,-1,100.0,[0],[0],0.8356266666666666,40.0
0,-1,-1,0.0,[1],[0],0.8204655555555556,41.0
0,-1,-1,0.0,[0],[1],0.68598,42.0
