,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[1],[1],0.29686,18.0
0,-1,-1,100.0,[0],[0],0.3601933333333333,0.0
0,-1,-1,0.0,[1],[0],0.4107333333333333,27.0
0,-1,-1,0.0,[1],[0],0.40301,9.0
0,-1,-1,100.0,[0],[0],0.3478666666666666,10.0
0,-1,-1,0.0,[1],[0],0.3451133333333333,1.0
0,-1,-1,0.0,[1],[0],0.2690066666666666,28.0
0,-1,-1,100.0,[1],[1],0.3468733333333333,19.0
0,-1,-1,0.0,[1],[0],0.2760266666666666,11.0
0,-1,-1,0.0,[1],[0],0.2283933333333333,29.0
0,-1,-1,0.0,[1],[0],0.2748866666666666,2.0
0,-1,-1,0.0,[1],[0],0.3274,20.0
0,-1,-1,100.0,[1],[1],0.2602933333333333,30.0
0,-1,-1,0.0,[1],[0],0.38089,12.0
0,-1,-1,0.0,[1],[0],0.34508,3.0
0,-1,-1,0.0,[1],[0],0.5470466666666667,21.0
0,-1,-1,100.0,[1],[1],0.3439333333333333,31.0
0,-1,-1,0.0,[1],[0],0.3432133333333333,13.0
0,-1,-1,0.0,[1],[0],0.3609033333333333,4.0
0,-1,-1,0.0,[1],[0],0.6115666666666667,22.0
0,-1,-1,0.0,[1],[0],0.4053,5.0
0,-1,-1,0.0,[1],[0],0.4187166666666667,32.0
0,-1,-1,100.0,[0],[0],0.4184866666666667,14.0
0,-1,-1,100.0,[1],[1],0.4174066666666666,23.0
0,-1,-1,0.0,[1],[0],0.3853833333333333,6.0
0,-1,-1,0.0,[1],[0],0.4552633333333333,15.0
0,-1,-1,0.0,[1],[0],0.4504,24.0
0,-1,-1,0.0,[1],[0],0.4434766666666667,33.0
0,-1,-1,0.0,[1],[0],0.2724366666666666,7.0
0,-1,-1,0.0,[1],[0],0.2810966666666666,16.0
0,-1,-1,100.0,[1],[1],0.6906866666666667,25.0
0,-1,-1,0.0,[1],[0],0.4333633333333333,34.0
0,-1,-1,100.0,[0],[0],0.3896166666666666,8.0
0,-1,-1,100.0,[0],[0],0.7461333333333333,17.0
0,-1,-1,100.0,[1],[1],0.7649133333333333,26.0
0,-1,-1,0.0,[0],[1],0.7717333333333334,35.0
0,-1,-1,100.0,[1],[1],0.3632466666666666,36.0
0,-1,-1,100.0,[1],[1],0.4073266666666666,45.0
0,-1,-1,0.0,[1],[0],0.3577333333333333,37.0
0,-1,-1,0.0,[1],[0],0.2935333333333333,44.0
0,-1,-1,0.0,[1],[0],0.2416966666666666,38.0
0,-1,-1,100.0,[1],[1],0.35893,39.0
0,-1,-1,0.0,[1],[0],0.3355333333333333,40.0
0,-1,-1,0.0,[1],[0],0.3520433333333333,41.0
0,-1,-1,100.0,[1],[1],0.3340266666666667,42.0
0,-1,-1,0.0,[1],[0],0.32655666666666666,43.0
