,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6585466666666666,17.0
0,-1,-1,100.0,[0],[0],0.6363433333333334,8.0
0,-1,-1,100.0,[0],[0],0.5452111111111111,0.0
0,-1,-1,100.0,[1],[1],0.69361,26.0
0,-1,-1,100.0,[1],[1],0.3745455555555556,18.0
0,-1,-1,100.0,[0],[0],0.6603755555555556,1.0
0,-1,-1,0.0,[1],[0],0.5603333333333333,9.0
0,-1,-1,0.0,[0],[1],0.6641333333333334,19.0
0,-1,-1,100.0,[0],[0],0.5773966666666667,10.0
0,-1,-1,0.0,[1],[0],0.6771222222222222,27.0
0,-1,-1,100.0,[0],[0],0.5109655555555556,2.0
0,-1,-1,0.0,[1],[0],0.6921944444444444,20.0
0,-1,-1,100.0,[0],[0],0.4600988888888889,3.0
0,-1,-1,100.0,[0],[0],0.5323344444444444,11.0
0,-1,-1,0.0,[0],[1],0.6873433333333333,35.0
0,-1,-1,0.0,[1],[0],0.2979955555555555,28.0
0,-1,-1,100.0,[0],[0],0.40234,29.0
0,-1,-1,100.0,[0],[0],0.60733,4.0
0,-1,-1,100.0,[0],[0],0.5021088888888889,21.0
0,-1,-1,0.0,[1],[0],0.6635111111111112,12.0
0,-1,-1,0.0,[0],[1],0.7178866666666667,36.0
0,-1,-1,100.0,[1],[1],0.37826,30.0
0,-1,-1,0.0,[1],[0],0.6614588888888889,22.0
0,-1,-1,0.0,[0],[1],0.6989011111111111,31.0
0,-1,-1,0.0,[1],[0],0.4979977777777777,13.0
0,-1,-1,0.0,[1],[0],0.6453477777777777,37.0
0,-1,-1,100.0,[1],[1],0.72658,23.0
0,-1,-1,100.0,[0],[0],0.5657833333333333,14.0
0,-1,-1,100.0,[0],[0],0.6672022222222223,32.0
0,-1,-1,100.0,[0],[0],0.2958433333333333,38.0
0,-1,-1,100.0,[0],[0],0.6150722222222222,15.0
0,-1,-1,0.0,[0],[1],0.3339855555555555,39.0
0,-1,-1,0.0,[1],[0],0.6754577777777778,24.0
0,-1,-1,100.0,[0],[0],0.5962822222222223,33.0
0,-1,-1,100.0,[0],[0],0.6995066666666667,40.0
0,-1,-1,0.0,[1],[0],0.6676055555555556,16.0
0,-1,-1,0.0,[0],[1],0.6054488888888889,25.0
0,-1,-1,0.0,[1],[0],0.5446655555555555,34.0
0,-1,-1,0.0,[1],[0],0.6828755555555556,41.0
0,-1,-1,0.0,[1],[0],0.6697822222222222,44.0
0,-1,-1,0.0,[0],[1],0.5521066666666666,42.0
0,-1,-1,0.0,[0],[1],0.5526677777777778,45.0
0,-1,-1,0.0,[1],[0],0.6286677777777778,43.0
