,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.4925883333333333,0.0
0,-1,-1,100.0,[0],[0],0.5958833333333333,1.0
0,-1,-1,0.0,[1],[0],0.4559472222222222,2.0
0,-1,-1,100.0,[0],[0],0.41309,3.0
0,-1,-1,100.0,[0],[0],0.5288144444444445,4.0
0,-1,-1,100.0,[0],[0],0.6137633333333333,5.0
0,-1,-1,100.0,[0],[0],0.3986733333333333,6.0
0,-1,-1,0.0,[1],[0],0.5922094444444445,7.0
0,-1,-1,0.0,[1],[0],0.5820238888888889,8.0
0,-1,-1,0.0,[1],[0],0.5132783333333333,9.0
0,-1,-1,100.0,[0],[0],0.5102138888888889,10.0
0,-1,-1,100.0,[0],[0],0.4824705555555555,11.0
0,-1,-1,0.0,[1],[0],0.6131744444444445,12.0
0,-1,-1,100.0,[0],[0],0.4485783333333333,13.0
0,-1,-1,100.0,[0],[0],0.5056955555555556,14.0
0,-1,-1,100.0,[0],[0],0.5520277777777778,15.0
0,-1,-1,0.0,[1],[0],0.6094111111111111,16.0
0,-1,-1,100.0,[0],[0],0.6001627777777778,17.0
0,-1,-1,0.0,[0],[1],0.3425316666666667,18.0
0,-1,-1,0.0,[0],[1],0.5938705555555556,19.0
0,-1,-1,0.0,[1],[0],0.6286972222222222,20.0
0,-1,-1,100.0,[0],[0],0.4573005555555555,21.0
0,-1,-1,100.0,[0],[0],0.6027333333333333,22.0
0,-1,-1,100.0,[1],[1],0.6701916666666666,23.0
0,-1,-1,100.0,[0],[0],0.6209305555555555,24.0
0,-1,-1,0.0,[0],[1],0.5760505555555555,25.0
0,-1,-1,0.0,[0],[1],0.6313972222222223,26.0
0,-1,-1,0.0,[1],[0],0.6136805555555556,27.0
0,-1,-1,0.0,[1],[0],0.2774388888888889,28.0
0,-1,-1,0.0,[1],[0],0.3814227777777778,29.0
0,-1,-1,0.0,[0],[1],0.3440338888888888,30.0
0,-1,-1,0.0,[0],[1],0.6519633333333333,31.0
0,-1,-1,100.0,[0],[0],0.6051422222222222,32.0
0,-1,-1,100.0,[0],[0],0.5190761111111111,33.0
0,-1,-1,0.0,[1],[0],0.4985688888888889,34.0
0,-1,-1,100.0,[1],[1],0.6377305555555556,35.0
0,-1,-1,100.0,[1],[1],0.6643444444444444,36.0
0,-1,-1,0.0,[1],[0],0.6145911111111111,37.0
0,-1,-1,100.0,[0],[0],0.2677027777777778,38.0
0,-1,-1,0.0,[0],[1],0.3016594444444444,39.0
0,-1,-1,0.0,[1],[0],0.6223716666666667,40.0
0,-1,-1,0.0,[1],[0],0.6100244444444445,41.0
0,-1,-1,0.0,[0],[1],0.4816322222222222,42.0
0,-1,-1,0.0,[1],[0],0.5704755555555555,43.0
0,-1,-1,100.0,[0],[0],0.6211322222222222,44.0
0,-1,-1,0.0,[0],[1],0.5137277777777778,45.0
