,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.370665,0.0
0,-1,-1,0.0,[1],[0],0.2813566666666666,1.0
0,-1,-1,0.0,[1],[0],0.25626,2.0
0,-1,-1,0.0,[1],[0],0.2949533333333333,3.0
0,-1,-1,0.0,[1],[0],0.5173333333333333,4.0
0,-1,-1,0.0,[1],[0],0.3899933333333333,5.0
0,-1,-1,100.0,[0],[0],0.2518083333333333,6.0
0,-1,-1,0.0,[1],[0],0.404755,7.0
0,-1,-1,0.0,[1],[0],0.4147766666666667,8.0
0,-1,-1,0.0,[1],[0],0.31213,9.0
0,-1,-1,0.0,[1],[0],0.2967166666666667,10.0
0,-1,-1,0.0,[1],[0],0.274535,11.0
0,-1,-1,0.0,[1],[0],0.4202666666666667,12.0
0,-1,-1,100.0,[0],[0],0.4015583333333333,13.0
0,-1,-1,0.0,[1],[0],0.38251,14.0
0,-1,-1,0.0,[1],[0],0.2646333333333333,15.0
0,-1,-1,0.0,[1],[0],0.3328666666666666,16.0
0,-1,-1,0.0,[1],[0],0.4706666666666667,17.0
0,-1,-1,100.0,[1],[1],0.2487383333333333,18.0
0,-1,-1,100.0,[1],[1],0.49868,19.0
0,-1,-1,0.0,[1],[0],0.3641666666666667,20.0
0,-1,-1,0.0,[1],[0],0.30037,21.0
0,-1,-1,0.0,[1],[0],0.3338366666666666,22.0
0,-1,-1,0.0,[0],[1],0.4350783333333333,23.0
0,-1,-1,100.0,[0],[0],0.3428666666666666,24.0
0,-1,-1,100.0,[1],[1],0.2650533333333333,25.0
0,-1,-1,100.0,[1],[1],0.3865583333333333,26.0
0,-1,-1,0.0,[1],[0],0.52655,27.0
0,-1,-1,0.0,[1],[0],0.30727,28.0
0,-1,-1,0.0,[1],[0],0.2227733333333333,29.0
0,-1,-1,100.0,[1],[1],0.26951,30.0
0,-1,-1,100.0,[1],[1],0.3389316666666667,31.0
0,-1,-1,0.0,[1],[0],0.436685,32.0
0,-1,-1,0.0,[1],[0],0.3878616666666666,33.0
0,-1,-1,0.0,[1],[0],0.2773366666666667,34.0
0,-1,-1,100.0,[1],[1],0.5351333333333333,35.0
0,-1,-1,100.0,[1],[1],0.3528483333333333,36.0
0,-1,-1,0.0,[1],[0],0.336535,37.0
0,-1,-1,0.0,[1],[0],0.3268783333333333,38.0
0,-1,-1,100.0,[1],[1],0.2932,39.0
0,-1,-1,0.0,[1],[0],0.3989716666666666,40.0
0,-1,-1,0.0,[1],[0],0.3992983333333333,41.0
0,-1,-1,100.0,[1],[1],0.4651333333333333,42.0
0,-1,-1,0.0,[1],[0],0.3441233333333333,43.0
0,-1,-1,0.0,[1],[0],0.427885,44.0
0,-1,-1,100.0,[1],[1],0.40289,45.0
