,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0037966666666666,0.0
0,-1,-1,100.0,[0],[0],0.0067416666666666,1.0
0,-1,-1,100.0,[0],[0],0.0069333333333333,2.0
0,-1,-1,100.0,[0],[0],0.0054483333333333,3.0
0,-1,-1,100.0,[0],[0],0.003735,4.0
0,-1,-1,100.0,[0],[0],0.007275,5.0
0,-1,-1,100.0,[0],[0],0.00146,6.0
0,-1,-1,100.0,[0],[0],0.0052566666666666,7.0
0,-1,-1,100.0,[0],[0],0.0048016666666666,8.0
0,-1,-1,100.0,[0],[0],0.0074166666666666,9.0
0,-1,-1,0.0,[1],[0],0.0094366666666666,10.0
0,-1,-1,100.0,[0],[0],0.0035433333333333,11.0
0,-1,-1,0.0,[1],[0],0.0117683333333333,12.0
0,-1,-1,100.0,[0],[0],0.0040316666666666,13.0
0,-1,-1,100.0,[0],[0],0.0069766666666666,14.0
0,-1,-1,100.0,[0],[0],0.0044183333333333,15.0
0,-1,-1,0.0,[1],[0],0.0178166666666666,16.0
0,-1,-1,100.0,[0],[0],0.0104083333333333,17.0
0,-1,-1,0.0,[0],[1],0.006905,18.0
0,-1,-1,0.0,[0],[1],0.00761,19.0
0,-1,-1,100.0,[0],[0],0.011145,20.0
0,-1,-1,100.0,[0],[0],0.0147416666666666,21.0
0,-1,-1,100.0,[0],[0],0.0090916666666666,22.0
0,-1,-1,0.0,[0],[1],0.0022383333333333,23.0
0,-1,-1,100.0,[0],[0],0.00291,24.0
0,-1,-1,0.0,[0],[1],0.00916,25.0
0,-1,-1,0.0,[0],[1],0.007845,26.0
0,-1,-1,100.0,[0],[0],0.0045583333333333,27.0
0,-1,-1,100.0,[0],[0],0.0040966666666666,28.0
0,-1,-1,100.0,[0],[0],0.00523,29.0
0,-1,-1,100.0,[1],[1],0.01231,30.0
0,-1,-1,0.0,[0],[1],0.0074116666666666,31.0
0,-1,-1,100.0,[0],[0],0.0021383333333333,32.0
0,-1,-1,100.0,[0],[0],0.0017333333333333,33.0
0,-1,-1,100.0,[0],[0],0.0027866666666666,34.0
0,-1,-1,0.0,[0],[1],0.01301,35.0
0,-1,-1,0.0,[0],[1],0.0074616666666666,36.0
0,-1,-1,100.0,[0],[0],0.008865,37.0
0,-1,-1,100.0,[0],[0],0.0057433333333333,38.0
0,-1,-1,100.0,[1],[1],0.009345,39.0
0,-1,-1,0.0,[1],[0],0.01725,40.0
0,-1,-1,0.0,[1],[0],0.0157966666666666,41.0
0,-1,-1,100.0,[1],[1],0.0138683333333333,42.0
0,-1,-1,100.0,[0],[0],0.00666,43.0
0,-1,-1,100.0,[0],[0],0.0065033333333333,44.0
0,-1,-1,0.0,[0],[1],0.0034016666666666666,45.0
