,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5449788888888889,0.0
0,-1,-1,100.0,[0],[0],0.6603244444444445,1.0
0,-1,-1,100.0,[0],[0],0.5106133333333334,2.0
0,-1,-1,100.0,[0],[0],0.4601988888888889,3.0
0,-1,-1,100.0,[0],[0],0.6069516666666667,4.0
0,-1,-1,100.0,[0],[0],0.6656633333333334,5.0
0,-1,-1,100.0,[0],[0],0.4422661111111111,6.0
0,-1,-1,0.0,[1],[0],0.6542027777777778,7.0
0,-1,-1,100.0,[0],[0],0.6362661111111111,8.0
0,-1,-1,0.0,[1],[0],0.5599055555555555,9.0
0,-1,-1,100.0,[0],[0],0.57796,10.0
0,-1,-1,100.0,[0],[0],0.5319827777777778,11.0
0,-1,-1,0.0,[1],[0],0.6637727777777778,12.0
0,-1,-1,0.0,[1],[0],0.498265,13.0
0,-1,-1,100.0,[0],[0],0.5651894444444444,14.0
0,-1,-1,100.0,[0],[0],0.6147477777777778,15.0
0,-1,-1,0.0,[1],[0],0.6680272222222222,16.0
0,-1,-1,100.0,[0],[0],0.6582583333333333,17.0
0,-1,-1,100.0,[1],[1],0.3741472222222222,18.0
0,-1,-1,0.0,[0],[1],0.66427,19.0
0,-1,-1,0.0,[1],[0],0.6917155555555555,20.0
0,-1,-1,100.0,[0],[0],0.5023322222222222,21.0
0,-1,-1,0.0,[1],[0],0.6617622222222223,22.0
0,-1,-1,100.0,[1],[1],0.7266216666666667,23.0
0,-1,-1,0.0,[1],[0],0.6754594444444444,24.0
0,-1,-1,0.0,[0],[1],0.6056777777777778,25.0
0,-1,-1,0.0,[0],[1],0.6929744444444444,26.0
0,-1,-1,100.0,[0],[0],0.6762994444444445,27.0
0,-1,-1,100.0,[0],[0],0.2975361111111111,28.0
0,-1,-1,100.0,[0],[0],0.4023433333333333,29.0
0,-1,-1,100.0,[1],[1],0.378405,30.0
0,-1,-1,100.0,[1],[1],0.6981455555555556,31.0
0,-1,-1,100.0,[0],[0],0.6672811111111111,32.0
0,-1,-1,0.0,[1],[0],0.5964033333333333,33.0
0,-1,-1,0.0,[1],[0],0.5448638888888889,34.0
0,-1,-1,0.0,[0],[1],0.6873072222222222,35.0
0,-1,-1,100.0,[1],[1],0.7178877777777778,36.0
0,-1,-1,0.0,[1],[0],0.6456122222222223,37.0
0,-1,-1,0.0,[1],[0],0.2958927777777778,38.0
0,-1,-1,0.0,[0],[1],0.333865,39.0
0,-1,-1,100.0,[0],[0],0.6997488888888889,40.0
0,-1,-1,0.0,[1],[0],0.6824966666666666,41.0
0,-1,-1,0.0,[0],[1],0.5526277777777778,42.0
0,-1,-1,0.0,[1],[0],0.62886,43.0
0,-1,-1,0.0,[1],[0],0.6691227777777777,44.0
0,-1,-1,0.0,[0],[1],0.5522072222222222,45.0
