,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.7474216666666667,0.0
0,-1,-1,0.0,[1],[0],0.8686,1.0
0,-1,-1,0.0,[1],[0],0.7524211111111111,2.0
0,-1,-1,0.0,[1],[0],0.7154683333333334,3.0
0,-1,-1,0.0,[1],[0],0.8740666666666667,4.0
0,-1,-1,0.0,[1],[0],0.8741333333333333,5.0
0,-1,-1,0.0,[1],[0],0.7215944444444444,6.0
0,-1,-1,0.0,[1],[0],0.8694,7.0
0,-1,-1,100.0,[0],[0],0.8626666666666667,8.0
0,-1,-1,0.0,[1],[0],0.817,9.0
0,-1,-1,0.0,[1],[0],0.869,10.0
0,-1,-1,0.0,[1],[0],0.7409422222222222,11.0
0,-1,-1,0.0,[1],[0],0.8772,12.0
0,-1,-1,0.0,[1],[0],0.7276122222222222,13.0
0,-1,-1,0.0,[1],[0],0.8732,14.0
0,-1,-1,0.0,[1],[0],0.8705333333333334,15.0
0,-1,-1,0.0,[1],[0],0.8774,16.0
0,-1,-1,0.0,[1],[0],0.8686666666666667,17.0
0,-1,-1,100.0,[1],[1],0.6047433333333333,18.0
0,-1,-1,0.0,[0],[1],0.8559333333333333,19.0
0,-1,-1,100.0,[0],[0],0.8624,20.0
0,-1,-1,100.0,[0],[0],0.7101333333333333,21.0
0,-1,-1,0.0,[1],[0],0.8640666666666666,22.0
0,-1,-1,0.0,[0],[1],0.8655333333333334,23.0
0,-1,-1,100.0,[0],[0],0.8566666666666667,24.0
0,-1,-1,100.0,[1],[1],0.8248,25.0
0,-1,-1,100.0,[1],[1],0.87,26.0
0,-1,-1,0.0,[1],[0],0.8727333333333334,27.0
0,-1,-1,0.0,[1],[0],0.6086188888888889,28.0
0,-1,-1,0.0,[1],[0],0.5646411111111111,29.0
0,-1,-1,100.0,[1],[1],0.6250111111111111,30.0
0,-1,-1,100.0,[1],[1],0.8766666666666667,31.0
0,-1,-1,100.0,[0],[0],0.8923333333333333,32.0
0,-1,-1,0.0,[1],[0],0.87,33.0
0,-1,-1,0.0,[1],[0],0.7559238888888888,34.0
0,-1,-1,100.0,[1],[1],0.8829333333333333,35.0
0,-1,-1,100.0,[1],[1],0.8928666666666667,36.0
0,-1,-1,0.0,[1],[0],0.8676666666666667,37.0
0,-1,-1,100.0,[0],[0],0.5426788888888889,38.0
0,-1,-1,100.0,[1],[1],0.6277188888888889,39.0
0,-1,-1,0.0,[1],[0],0.8087333333333333,40.0
0,-1,-1,0.0,[1],[0],0.8609333333333333,41.0
0,-1,-1,100.0,[1],[1],0.8702,42.0
0,-1,-1,0.0,[1],[0],0.8261333333333334,43.0
0,-1,-1,0.0,[1],[0],0.5426666666666666,44.0
0,-1,-1,100.0,[1],[1],0.5462761111111111,45.0
