,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.003925,0.0
0,-1,-1,100.0,[0],[0],0.0067366666666666,1.0
0,-1,-1,100.0,[0],[0],0.006415,2.0
0,-1,-1,100.0,[0],[0],0.005375,3.0
0,-1,-1,100.0,[0],[0],0.00354,4.0
0,-1,-1,100.0,[0],[0],0.0075766666666666,5.0
0,-1,-1,100.0,[0],[0],0.001505,6.0
0,-1,-1,100.0,[0],[0],0.0053083333333333,7.0
0,-1,-1,100.0,[0],[0],0.0049633333333333,8.0
0,-1,-1,100.0,[0],[0],0.0075933333333333,9.0
0,-1,-1,100.0,[0],[0],0.0094033333333333,10.0
0,-1,-1,100.0,[0],[0],0.00334,11.0
0,-1,-1,0.0,[1],[0],0.011355,12.0
0,-1,-1,100.0,[0],[0],0.0041866666666666,13.0
0,-1,-1,100.0,[0],[0],0.0069466666666666,14.0
0,-1,-1,100.0,[0],[0],0.0048316666666666,15.0
0,-1,-1,0.0,[1],[0],0.0174983333333333,16.0
0,-1,-1,0.0,[1],[0],0.0174983333333333,16.0
0,-1,-1,100.0,[0],[0],0.0098716666666666,17.0
0,-1,-1,0.0,[0],[1],0.00683,18.0
0,-1,-1,0.0,[0],[1],0.0074666666666666,19.0
0,-1,-1,0.0,[1],[0],0.0107283333333333,20.0
0,-1,-1,100.0,[0],[0],0.0147483333333333,21.0
0,-1,-1,100.0,[0],[0],0.0084,22.0
0,-1,-1,0.0,[0],[1],0.0023366666666666,23.0
0,-1,-1,100.0,[0],[0],0.00304,24.0
0,-1,-1,0.0,[0],[1],0.0094783333333333,25.0
0,-1,-1,0.0,[0],[1],0.00826,26.0
0,-1,-1,100.0,[0],[0],0.0041966666666666,27.0
0,-1,-1,100.0,[0],[0],0.0043916666666666,28.0
0,-1,-1,100.0,[0],[0],0.0049783333333333,29.0
0,-1,-1,100.0,[1],[1],0.0122283333333333,30.0
0,-1,-1,100.0,[1],[1],0.0073383333333333,31.0
0,-1,-1,100.0,[0],[0],0.0021316666666666,32.0
0,-1,-1,100.0,[0],[0],0.001465,33.0
0,-1,-1,100.0,[0],[0],0.0031583333333333,34.0
0,-1,-1,0.0,[0],[1],0.0124466666666666,35.0
0,-1,-1,100.0,[1],[1],0.007285,36.0
0,-1,-1,100.0,[0],[0],0.0091433333333333,37.0
0,-1,-1,100.0,[0],[0],0.0055633333333333,38.0
0,-1,-1,100.0,[1],[1],0.0092233333333333,39.0
0,-1,-1,0.0,[1],[0],0.01784,40.0
0,-1,-1,0.0,[1],[0],0.0151883333333333,41.0
0,-1,-1,100.0,[1],[1],0.0133083333333333,42.0
0,-1,-1,100.0,[0],[0],0.00628,43.0
0,-1,-1,0.0,[1],[0],0.0064883333333333,44.0
0,-1,-1,0.0,[0],[1],0.003106666666666667,45.0
