,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5452677777777778,0.0
0,-1,-1,100.0,[0],[0],0.6605705555555555,1.0
0,-1,-1,100.0,[0],[0],0.5104238888888889,2.0
0,-1,-1,100.0,[0],[0],0.4599944444444444,3.0
0,-1,-1,100.0,[0],[0],0.6071361111111111,4.0
0,-1,-1,0.0,[1],[0],0.6659205555555555,5.0
0,-1,-1,100.0,[0],[0],0.4423672222222222,6.0
0,-1,-1,100.0,[0],[0],0.6545388888888889,7.0
0,-1,-1,0.0,[1],[0],0.6364516666666666,8.0
0,-1,-1,0.0,[1],[0],0.5597688888888889,9.0
0,-1,-1,100.0,[0],[0],0.5776561111111111,10.0
0,-1,-1,100.0,[0],[0],0.5322144444444444,11.0
0,-1,-1,0.0,[1],[0],0.6637333333333333,12.0
0,-1,-1,0.0,[1],[0],0.4985233333333333,13.0
0,-1,-1,100.0,[0],[0],0.5657094444444445,14.0
0,-1,-1,100.0,[0],[0],0.6148494444444444,15.0
0,-1,-1,0.0,[1],[0],0.6673377777777778,16.0
0,-1,-1,100.0,[0],[0],0.6585672222222222,17.0
0,-1,-1,100.0,[1],[1],0.3744138888888889,18.0
0,-1,-1,0.0,[0],[1],0.6641594444444444,19.0
0,-1,-1,0.0,[1],[0],0.6916366666666667,20.0
0,-1,-1,100.0,[0],[0],0.5020977777777778,21.0
0,-1,-1,100.0,[0],[0],0.6617961111111111,22.0
0,-1,-1,100.0,[1],[1],0.7267405555555555,23.0
0,-1,-1,100.0,[0],[0],0.6751183333333334,24.0
0,-1,-1,100.0,[1],[1],0.6055677777777778,25.0
0,-1,-1,0.0,[0],[1],0.6929394444444444,26.0
0,-1,-1,100.0,[0],[0],0.6765105555555555,27.0
0,-1,-1,100.0,[0],[0],0.2975066666666666,28.0
0,-1,-1,100.0,[0],[0],0.4023683333333333,29.0
0,-1,-1,100.0,[1],[1],0.3785716666666666,30.0
0,-1,-1,100.0,[1],[1],0.6979033333333333,31.0
0,-1,-1,100.0,[0],[0],0.6672005555555556,32.0
0,-1,-1,100.0,[0],[0],0.5960094444444445,33.0
0,-1,-1,0.0,[1],[0],0.5448061111111111,34.0
0,-1,-1,0.0,[0],[1],0.6877533333333333,35.0
0,-1,-1,100.0,[1],[1],0.7181805555555556,36.0
0,-1,-1,0.0,[1],[0],0.64526,37.0
0,-1,-1,100.0,[0],[0],0.2957938888888889,38.0
0,-1,-1,0.0,[0],[1],0.3334855555555555,39.0
0,-1,-1,100.0,[0],[0],0.6998833333333333,40.0
0,-1,-1,0.0,[1],[0],0.6829633333333334,41.0
0,-1,-1,0.0,[0],[1],0.5515816666666666,42.0
0,-1,-1,0.0,[1],[0],0.6288255555555555,43.0
0,-1,-1,100.0,[0],[0],0.6693533333333334,44.0
0,-1,-1,0.0,[0],[1],0.5530077777777778,45.0
