fold,sparsity
0,0.7671838888888889
1,0.8821333333333333
2,0.7230272222222223
3,0.7373727777777778
4,0.8725333333333334
5,0.8748666666666667
6,0.7389233333333334
7,0.8817333333333334
8,0.8874
9,0.8448
10,0.8454
11,0.7599911111111111
12,0.8745333333333334
13,0.7422705555555555
14,0.7632666666666666
15,0.8553333333333333
16,0.8787333333333334
17,0.8644
18,0.5960511111111111
19,0.8568
20,0.8748
21,0.7222416666666667
22,0.8732666666666666
23,0.8579333333333333
24,0.8698666666666667
25,0.8492
26,0.8756
27,0.8812
28,0.6013011111111111
29,0.5764677777777778
30,0.5641177777777778
31,0.8837333333333334
32,0.8638666666666667
33,0.8266666666666667
34,0.7039755555555556
35,0.6812
36,0.8758
37,0.8498666666666667
38,0.48036666666666666
39,0.62957
40,0.816
41,0.8549333333333333
42,0.856
43,0.841
44,0.8497333333333333
45,0.7499
