fold,sparsity
2,0.24966333333333332
3,0.3892833333333333
4,0.321045
5,0.37223666666666666
6,0.48283333333333334
7,0.4173516666666667
8,0.44092166666666666
9,0.36794
10,0.5015533333333333
11,0.2562933333333333
12,0.34753333333333336
13,0.2848983333333333
14,0.3227583333333333
15,0.43258166666666664
16,0.4846666666666667
17,0.37433333333333335
18,0.3716
19,0.4234
20,0.5475333333333333
21,0.3586083333333333
22,0.24366666666666667
23,0.30138333333333334
24,0.27915
25,0.40796333333333334
26,0.3659483333333333
27,0.35906
28,0.25277333333333335
29,0.23246333333333333
30,0.3146966666666667
31,0.43393333333333334
32,0.29113
33,0.434415
34,0.3496766666666667
35,0.4528916666666667
36,0.3718666666666667
37,0.407015
38,0.24518166666666666
39,0.26213333333333333
40,0.4205333333333333
41,0.40790666666666664
42,0.26140166666666664
43,0.3932583333333333
44,0.5101333333333333
45,0.4315466666666667
