,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.2,0.0
0,-1,-1,100.0,[0],[0],0.2,1.0
0,-1,-1,100.0,[0],[0],0.2,2.0
0,-1,-1,100.0,[0],[0],0.2,3.0
0,-1,-1,0.0,[1],[0],0.2,4.0
0,-1,-1,100.0,[0],[0],0.2,5.0
0,-1,-1,0.0,[1],[0],0.2,6.0
0,-1,-1,100.0,[0],[0],0.2,7.0
0,-1,-1,100.0,[0],[0],0.2,8.0
0,-1,-1,0.0,[1],[0],0.2,9.0
0,-1,-1,100.0,[0],[0],0.2,10.0
0,-1,-1,0.0,[1],[0],0.2,11.0
0,-1,-1,0.0,[1],[0],0.2,12.0
0,-1,-1,100.0,[0],[0],0.2,13.0
0,-1,-1,0.0,[1],[0],0.2,14.0
0,-1,-1,100.0,[0],[0],0.2,15.0
