,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6496744444444444,0.0
0,-1,-1,100.0,[0],[0],0.8005255555555556,1.0
0,-1,-1,100.0,[0],[0],0.6165955555555556,2.0
0,-1,-1,100.0,[0],[0],0.5519355555555555,3.0
0,-1,-1,100.0,[0],[0],0.7145988888888889,4.0
0,-1,-1,0.0,[1],[0],0.8023111111111111,5.0
0,-1,-1,100.0,[0],[0],0.53051,6.0
0,-1,-1,100.0,[0],[0],0.7889422222222222,7.0
0,-1,-1,100.0,[0],[0],0.76606,8.0
0,-1,-1,100.0,[0],[0],0.6746044444444445,9.0
0,-1,-1,100.0,[0],[0],0.7026611111111111,10.0
0,-1,-1,100.0,[0],[0],0.6382311111111111,11.0
0,-1,-1,0.0,[1],[0],0.7987811111111112,12.0
0,-1,-1,100.0,[0],[0],0.59373,13.0
0,-1,-1,0.0,[1],[0],0.6803311111111111,14.0
0,-1,-1,100.0,[0],[0],0.7334333333333334,15.0
0,-1,-1,0.0,[1],[0],0.8142311111111111,16.0
0,-1,-1,0.0,[0],[1],0.7867544444444444,17.0
0,-1,-1,0.0,[0],[1],0.45162,18.0
0,-1,-1,100.0,[0],[0],0.8015988888888889,19.0
0,-1,-1,0.0,[0],[1],0.8386777777777777,20.0
0,-1,-1,0.0,[0],[1],0.6009833333333333,21.0
0,-1,-1,0.0,[0],[1],0.7981533333333334,22.0
0,-1,-1,0.0,[0],[1],0.8750955555555555,23.0
0,-1,-1,0.0,[0],[1],0.8319666666666666,24.0
0,-1,-1,0.0,[0],[1],0.7332288888888889,25.0
0,-1,-1,100.0,[1],[1],0.8365011111111111,26.0
0,-1,-1,0.0,[1],[0],0.8110711111111111,27.0
0,-1,-1,0.0,[0],[1],0.3572677777777778,28.0
0,-1,-1,0.0,[0],[1],0.48453,29.0
0,-1,-1,0.0,[0],[1],0.4553133333333333,30.0
0,-1,-1,0.0,[0],[1],0.83874,31.0
0,-1,-1,0.0,[0],[1],0.80083,32.0
0,-1,-1,0.0,[0],[1],0.7118266666666667,33.0
0,-1,-1,100.0,[1],[1],0.6548655555555556,34.0
0,-1,-1,0.0,[0],[1],0.8312166666666667,35.0
0,-1,-1,100.0,[1],[1],0.86268,36.0
0,-1,-1,100.0,[0],[0],0.7842288888888889,37.0
0,-1,-1,0.0,[0],[1],0.3531277777777777,38.0
0,-1,-1,0.0,[0],[1],0.39953,39.0
0,-1,-1,100.0,[1],[1],0.8360388888888889,40.0
0,-1,-1,0.0,[0],[1],0.82002,41.0
0,-1,-1,0.0,[0],[1],0.6857066666666667,42.0
0,-1,-1,100.0,[0],[0],0.76561,43.0
0,-1,-1,100.0,[0],[0],0.79925,44.0
0,-1,-1,0.0,[0],[1],0.6664733333333334,45.0
