,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.39843,0.0
0,-1,-1,0.0,[1],[0],0.4036666666666667,1.0
0,-1,-1,100.0,[0],[0],0.42746,2.0
0,-1,-1,0.0,[1],[0],0.3866433333333333,3.0
0,-1,-1,100.0,[0],[0],0.4299566666666666,4.0
0,-1,-1,0.0,[1],[0],0.4300066666666666,5.0
0,-1,-1,100.0,[0],[0],0.4096,6.0
0,-1,-1,0.0,[1],[0],0.4362666666666667,7.0
0,-1,-1,0.0,[1],[0],0.4188933333333333,8.0
0,-1,-1,100.0,[0],[0],0.4099,9.0
0,-1,-1,100.0,[0],[0],0.4006,10.0
0,-1,-1,100.0,[0],[0],0.40801,11.0
0,-1,-1,0.0,[1],[0],0.4036666666666667,12.0
0,-1,-1,0.0,[1],[0],0.3841366666666667,13.0
0,-1,-1,0.0,[1],[0],0.4049033333333333,14.0
0,-1,-1,0.0,[1],[0],0.4308,15.0
0,-1,-1,0.0,[1],[0],0.407,16.0
0,-1,-1,0.0,[0],[1],0.4357366666666666,17.0
0,-1,-1,0.0,[0],[1],0.37304,18.0
0,-1,-1,0.0,[1],[0],0.4267333333333333,19.0
0,-1,-1,100.0,[1],[1],0.3987333333333333,20.0
0,-1,-1,0.0,[0],[1],0.3888633333333333,21.0
0,-1,-1,100.0,[1],[1],0.4266666666666667,22.0
0,-1,-1,100.0,[1],[1],0.3917333333333333,23.0
0,-1,-1,0.0,[0],[1],0.44908,24.0
0,-1,-1,0.0,[0],[1],0.4229333333333333,25.0
0,-1,-1,100.0,[1],[1],0.4036666666666667,26.0
0,-1,-1,0.0,[1],[0],0.4215333333333333,27.0
0,-1,-1,0.0,[0],[1],0.39407,28.0
0,-1,-1,0.0,[0],[1],0.39154,29.0
0,-1,-1,0.0,[0],[1],0.37648,30.0
0,-1,-1,100.0,[1],[1],0.4168,31.0
0,-1,-1,100.0,[1],[1],0.4304666666666666,32.0
0,-1,-1,100.0,[1],[1],0.4135366666666666,33.0
0,-1,-1,100.0,[1],[1],0.40819,34.0
0,-1,-1,0.0,[0],[1],0.42547,35.0
0,-1,-1,100.0,[1],[1],0.4052,36.0
0,-1,-1,100.0,[0],[0],0.41781,37.0
0,-1,-1,100.0,[1],[1],0.42118,38.0
0,-1,-1,100.0,[1],[1],0.3662533333333333,39.0
0,-1,-1,0.0,[0],[1],0.4308,40.0
0,-1,-1,100.0,[1],[1],0.4154666666666666,41.0
0,-1,-1,0.0,[0],[1],0.4174,42.0
0,-1,-1,100.0,[0],[0],0.4409333333333333,43.0
0,-1,-1,0.0,[1],[0],0.4518666666666667,44.0
0,-1,-1,100.0,[1],[1],0.42185666666666666,45.0
