,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0039366666666666,0.0
0,-1,-1,100.0,[0],[0],0.0064633333333333,1.0
0,-1,-1,100.0,[0],[0],0.00662,2.0
0,-1,-1,100.0,[0],[0],0.0054766666666666,3.0
0,-1,-1,100.0,[0],[0],0.0034966666666666,4.0
0,-1,-1,0.0,[1],[0],0.0073933333333333,5.0
0,-1,-1,100.0,[0],[0],0.00158,6.0
0,-1,-1,100.0,[0],[0],0.0055366666666666,7.0
0,-1,-1,100.0,[0],[0],0.0051866666666666,8.0
0,-1,-1,100.0,[0],[0],0.0077366666666666,9.0
0,-1,-1,100.0,[0],[0],0.0090066666666666,10.0
0,-1,-1,100.0,[0],[0],0.0035833333333333,11.0
0,-1,-1,100.0,[0],[0],0.0109833333333333,12.0
0,-1,-1,100.0,[0],[0],0.0039633333333333,13.0
0,-1,-1,100.0,[0],[0],0.00714,14.0
0,-1,-1,100.0,[0],[0],0.00475,15.0
0,-1,-1,0.0,[1],[0],0.0168633333333333,16.0
0,-1,-1,0.0,[0],[1],0.0094766666666666,17.0
0,-1,-1,0.0,[0],[1],0.00701,18.0
0,-1,-1,100.0,[0],[0],0.00766,19.0
0,-1,-1,0.0,[0],[1],0.0108733333333333,20.0
0,-1,-1,0.0,[0],[1],0.01495,21.0
0,-1,-1,0.0,[0],[1],0.00864,22.0
0,-1,-1,100.0,[1],[1],0.00224,23.0
0,-1,-1,100.0,[1],[1],0.0027866666666666,24.0
0,-1,-1,0.0,[0],[1],0.0092333333333333,25.0
0,-1,-1,0.0,[0],[1],0.00777,26.0
0,-1,-1,100.0,[0],[0],0.0046566666666666,27.0
0,-1,-1,0.0,[0],[1],0.0040166666666666,28.0
0,-1,-1,0.0,[0],[1],0.00496,29.0
0,-1,-1,100.0,[1],[1],0.01201,30.0
0,-1,-1,0.0,[0],[1],0.00704,31.0
0,-1,-1,0.0,[0],[1],0.0021433333333333,32.0
0,-1,-1,0.0,[0],[1],0.0018166666666666,33.0
0,-1,-1,100.0,[1],[1],0.0026833333333333,34.0
0,-1,-1,0.0,[0],[1],0.0124366666666666,35.0
0,-1,-1,0.0,[0],[1],0.00728,36.0
0,-1,-1,0.0,[1],[0],0.0093133333333333,37.0
0,-1,-1,100.0,[1],[1],0.0053333333333333,38.0
0,-1,-1,100.0,[1],[1],0.00877,39.0
0,-1,-1,100.0,[1],[1],0.0170733333333333,40.0
0,-1,-1,100.0,[1],[1],0.01552,41.0
0,-1,-1,0.0,[0],[1],0.0137766666666666,42.0
0,-1,-1,100.0,[0],[0],0.00643,43.0
0,-1,-1,100.0,[0],[0],0.00635,44.0
0,-1,-1,0.0,[0],[1],0.0031166666666666665,45.0
