,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.6089022222222222,0.0
0,-1,-1,100.0,[0],[0],0.6447333333333334,1.0
0,-1,-1,0.0,[1],[0],0.6231233333333334,2.0
0,-1,-1,100.0,[0],[0],0.6481588888888888,3.0
0,-1,-1,100.0,[0],[0],0.5845333333333333,4.0
0,-1,-1,0.0,[1],[0],0.6675333333333333,5.0
0,-1,-1,100.0,[0],[0],0.6413733333333334,6.0
0,-1,-1,0.0,[1],[0],0.6397333333333334,7.0
0,-1,-1,100.0,[0],[0],0.6514666666666666,8.0
0,-1,-1,0.0,[1],[0],0.635,9.0
0,-1,-1,0.0,[1],[0],0.6289333333333333,10.0
0,-1,-1,100.0,[0],[0],0.6461288888888889,11.0
0,-1,-1,0.0,[1],[0],0.6808666666666666,12.0
0,-1,-1,100.0,[0],[0],0.7066033333333334,13.0
0,-1,-1,100.0,[0],[0],0.6484,14.0
0,-1,-1,100.0,[0],[0],0.6902,15.0
0,-1,-1,0.0,[1],[0],0.6220666666666667,16.0
0,-1,-1,100.0,[1],[1],0.5562,17.0
0,-1,-1,0.0,[0],[1],0.4788355555555555,18.0
0,-1,-1,0.0,[1],[0],0.5949333333333333,19.0
0,-1,-1,0.0,[0],[1],0.5612666666666667,20.0
0,-1,-1,0.0,[0],[1],0.6543166666666667,21.0
0,-1,-1,100.0,[1],[1],0.5910666666666666,22.0
0,-1,-1,100.0,[1],[1],0.5612666666666667,23.0
0,-1,-1,100.0,[1],[1],0.7006,24.0
0,-1,-1,100.0,[1],[1],0.6228,25.0
0,-1,-1,0.0,[0],[1],0.7793333333333333,26.0
0,-1,-1,0.0,[1],[0],0.6111333333333333,27.0
0,-1,-1,0.0,[0],[1],0.5949911111111111,28.0
0,-1,-1,0.0,[0],[1],0.5116888888888889,29.0
0,-1,-1,0.0,[0],[1],0.4781355555555555,30.0
0,-1,-1,100.0,[1],[1],0.6244666666666666,31.0
0,-1,-1,100.0,[1],[1],0.5818666666666666,32.0
0,-1,-1,0.0,[0],[1],0.5347333333333333,33.0
0,-1,-1,100.0,[1],[1],0.5490511111111112,34.0
0,-1,-1,100.0,[1],[1],0.6123333333333333,35.0
0,-1,-1,100.0,[1],[1],0.5870666666666666,36.0
0,-1,-1,100.0,[0],[0],0.5886,37.0
0,-1,-1,100.0,[1],[1],0.4919344444444444,38.0
0,-1,-1,0.0,[0],[1],0.4842577777777778,39.0
0,-1,-1,100.0,[1],[1],0.6550666666666667,40.0
0,-1,-1,0.0,[0],[1],0.6156,41.0
0,-1,-1,0.0,[0],[1],0.6181333333333333,42.0
0,-1,-1,100.0,[0],[0],0.6025333333333334,43.0
0,-1,-1,0.0,[1],[0],0.6220666666666667,44.0
0,-1,-1,0.0,[0],[1],0.6395788888888889,45.0
