,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.4160555555555555,0.0
0,-1,-1,0.0,[1],[0],0.4932555555555555,1.0
0,-1,-1,100.0,[0],[0],0.3768844444444444,2.0
0,-1,-1,100.0,[0],[0],0.3436066666666666,3.0
0,-1,-1,100.0,[0],[0],0.4549166666666667,4.0
0,-1,-1,100.0,[0],[0],0.5024233333333333,5.0
0,-1,-1,100.0,[0],[0],0.33535,6.0
0,-1,-1,0.0,[1],[0],0.4951711111111111,7.0
0,-1,-1,100.0,[0],[0],0.4860988888888889,8.0
0,-1,-1,100.0,[0],[0],0.4231555555555555,9.0
0,-1,-1,100.0,[0],[0],0.4231311111111111,10.0
0,-1,-1,100.0,[0],[0],0.4040633333333333,11.0
0,-1,-1,100.0,[0],[0],0.5130255555555555,12.0
0,-1,-1,100.0,[0],[0],0.3750411111111111,13.0
0,-1,-1,100.0,[0],[0],0.4272666666666667,14.0
0,-1,-1,100.0,[0],[0],0.4604022222222222,15.0
0,-1,-1,100.0,[0],[0],0.5050477777777778,16.0
0,-1,-1,0.0,[0],[1],0.5046811111111111,17.0
0,-1,-1,0.0,[0],[1],0.2839655555555556,18.0
0,-1,-1,100.0,[0],[0],0.49488,19.0
0,-1,-1,0.0,[0],[1],0.5286233333333333,20.0
0,-1,-1,0.0,[0],[1],0.3760277777777778,21.0
0,-1,-1,0.0,[0],[1],0.49147,22.0
0,-1,-1,100.0,[1],[1],0.5627477777777777,23.0
0,-1,-1,100.0,[1],[1],0.51774,24.0
0,-1,-1,0.0,[0],[1],0.4666422222222222,25.0
0,-1,-1,0.0,[0],[1],0.5263433333333334,26.0
0,-1,-1,100.0,[0],[0],0.5062933333333334,27.0
0,-1,-1,100.0,[1],[1],0.2300788888888889,28.0
0,-1,-1,0.0,[0],[1],0.3138877777777777,29.0
0,-1,-1,0.0,[0],[1],0.2944677777777778,30.0
0,-1,-1,0.0,[0],[1],0.5309855555555556,31.0
0,-1,-1,0.0,[0],[1],0.5207844444444445,32.0
0,-1,-1,0.0,[0],[1],0.4462055555555556,33.0
0,-1,-1,0.0,[0],[1],0.4116766666666667,34.0
0,-1,-1,100.0,[1],[1],0.5247266666666667,35.0
0,-1,-1,100.0,[1],[1],0.5545222222222222,36.0
0,-1,-1,100.0,[0],[0],0.50739,37.0
0,-1,-1,0.0,[0],[1],0.2276977777777777,38.0
0,-1,-1,0.0,[0],[1],0.2533711111111111,39.0
0,-1,-1,0.0,[0],[1],0.52925,40.0
0,-1,-1,0.0,[0],[1],0.5180477777777778,41.0
0,-1,-1,0.0,[0],[1],0.4052444444444444,42.0
0,-1,-1,0.0,[1],[0],0.4682644444444444,43.0
0,-1,-1,100.0,[0],[0],0.51178,44.0
0,-1,-1,0.0,[0],[1],0.41120111111111113,45.0
