,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.5446744444444445,0.0
0,-1,-1,100.0,[0],[0],0.6603555555555556,1.0
0,-1,-1,100.0,[0],[0],0.5104688888888889,2.0
0,-1,-1,100.0,[0],[0],0.46009,3.0
0,-1,-1,100.0,[0],[0],0.6066833333333334,4.0
0,-1,-1,0.0,[1],[0],0.6659188888888888,5.0
0,-1,-1,0.0,[1],[0],0.44225,6.0
0,-1,-1,100.0,[0],[0],0.65411,7.0
0,-1,-1,100.0,[0],[0],0.6362,8.0
0,-1,-1,100.0,[0],[0],0.5595277777777777,9.0
0,-1,-1,100.0,[0],[0],0.5774788888888889,10.0
0,-1,-1,100.0,[0],[0],0.5324322222222222,11.0
0,-1,-1,100.0,[0],[0],0.6634455555555555,12.0
0,-1,-1,100.0,[0],[0],0.4981077777777777,13.0
0,-1,-1,100.0,[0],[0],0.5660166666666666,14.0
0,-1,-1,100.0,[0],[0],0.6145111111111111,15.0
0,-1,-1,100.0,[0],[0],0.66796,16.0
0,-1,-1,100.0,[1],[1],0.6586477777777778,17.0
0,-1,-1,100.0,[1],[1],0.3740822222222222,18.0
0,-1,-1,100.0,[0],[0],0.6644866666666667,19.0
0,-1,-1,0.0,[0],[1],0.6916766666666667,20.0
0,-1,-1,100.0,[1],[1],0.5022011111111111,21.0
0,-1,-1,100.0,[1],[1],0.6621233333333333,22.0
0,-1,-1,0.0,[0],[1],0.7263255555555556,23.0
0,-1,-1,0.0,[0],[1],0.6743433333333333,24.0
0,-1,-1,0.0,[0],[1],0.6055877777777777,25.0
0,-1,-1,100.0,[1],[1],0.6929166666666666,26.0
0,-1,-1,100.0,[0],[0],0.6771555555555555,27.0
0,-1,-1,0.0,[0],[1],0.2975755555555555,28.0
0,-1,-1,0.0,[0],[1],0.40241,29.0
0,-1,-1,0.0,[0],[1],0.37846,30.0
0,-1,-1,0.0,[0],[1],0.69837,31.0
0,-1,-1,0.0,[0],[1],0.6677655555555555,32.0
0,-1,-1,0.0,[0],[1],0.59593,33.0
0,-1,-1,0.0,[0],[1],0.5447266666666667,34.0
0,-1,-1,0.0,[0],[1],0.6873111111111111,35.0
0,-1,-1,0.0,[0],[1],0.7177455555555555,36.0
0,-1,-1,100.0,[0],[0],0.6458511111111112,37.0
0,-1,-1,0.0,[0],[1],0.2959777777777778,38.0
0,-1,-1,100.0,[1],[1],0.3337433333333333,39.0
0,-1,-1,0.0,[0],[1],0.6991522222222222,40.0
0,-1,-1,0.0,[0],[1],0.6829588888888889,41.0
0,-1,-1,0.0,[0],[1],0.5519633333333334,42.0
0,-1,-1,100.0,[0],[0],0.6287355555555556,43.0
0,-1,-1,100.0,[0],[0],0.6692888888888889,44.0
0,-1,-1,0.0,[0],[1],0.5525744444444445,45.0
