fold,sparsity
0,0.03820333333333333
1,0.058166666666666665
2,0.046266666666666664
3,0.05591666666666667
4,0.03475333333333333
5,0.06458666666666667
6,0.03367
7,0.054066666666666666
8,0.05076
9,0.07605
10,0.06057
11,0.042576666666666665
12,0.07259
13,0.03853
14,0.06755
15,0.04169333333333333
16,0.09963
17,0.10096666666666666
18,0.06954333333333333
19,0.06679333333333333
20,0.11334666666666667
21,0.08535
22,0.06556666666666666
23,0.03855666666666667
24,0.046963333333333336
25,0.10180666666666667
26,0.08518666666666666
27,0.05461333333333333
28,0.025046666666666665
29,0.05293666666666667
30,0.06921666666666666
31,0.08248333333333334
32,0.06683
33,0.03558
34,0.033376666666666666
35,0.12642666666666666
36,0.09097666666666666
37,0.10267666666666667
38,0.03759333333333333
39,0.06657666666666667
40,0.10899
41,0.11814666666666666
42,0.11626666666666667
43,0.10270666666666667
44,0.06837666666666667
45,0.06908333333333333
