,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.4813738888888889,0.0
0,-1,-1,100.0,[0],[0],0.5904594444444444,1.0
0,-1,-1,0.0,[1],[0],0.4555172222222222,2.0
0,-1,-1,100.0,[0],[0],0.4039927777777777,3.0
0,-1,-1,100.0,[0],[0],0.5105161111111111,4.0
0,-1,-1,100.0,[0],[0],0.6015055555555555,5.0
0,-1,-1,100.0,[0],[0],0.3890911111111111,6.0
0,-1,-1,100.0,[0],[0],0.5924072222222222,7.0
0,-1,-1,100.0,[0],[0],0.57516,8.0
0,-1,-1,0.0,[1],[0],0.5073472222222222,9.0
0,-1,-1,100.0,[0],[0],0.5063738888888889,10.0
0,-1,-1,100.0,[0],[0],0.4736322222222222,11.0
0,-1,-1,100.0,[0],[0],0.5947966666666666,12.0
0,-1,-1,100.0,[0],[0],0.4405655555555555,13.0
0,-1,-1,100.0,[0],[0],0.517925,14.0
0,-1,-1,100.0,[0],[0],0.5584538888888889,15.0
0,-1,-1,100.0,[0],[0],0.6119583333333334,16.0
0,-1,-1,100.0,[0],[0],0.600485,17.0
0,-1,-1,0.0,[0],[1],0.34402,18.0
0,-1,-1,0.0,[0],[1],0.5951277777777778,19.0
0,-1,-1,100.0,[0],[0],0.6404677777777777,20.0
0,-1,-1,100.0,[0],[0],0.4593061111111111,21.0
0,-1,-1,100.0,[0],[0],0.5992472222222223,22.0
0,-1,-1,0.0,[0],[1],0.6788355555555555,23.0
0,-1,-1,100.0,[0],[0],0.6369561111111111,24.0
0,-1,-1,0.0,[0],[1],0.5710694444444444,25.0
