,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.0035833333333333,0.0
0,-1,-1,100.0,[0],[0],0.0066016666666666,1.0
0,-1,-1,100.0,[0],[0],0.00673,2.0
0,-1,-1,100.0,[0],[0],0.0054733333333333,3.0
0,-1,-1,100.0,[0],[0],0.0039516666666666,4.0
0,-1,-1,100.0,[0],[0],0.0078983333333333,5.0
0,-1,-1,100.0,[0],[0],0.00142,6.0
0,-1,-1,100.0,[0],[0],0.0056433333333333,7.0
0,-1,-1,0.0,[1],[0],0.0051,8.0
0,-1,-1,100.0,[0],[0],0.0074316666666666,9.0
0,-1,-1,100.0,[0],[0],0.00946,10.0
0,-1,-1,100.0,[0],[0],0.003615,11.0
0,-1,-1,100.0,[0],[0],0.0116116666666666,12.0
0,-1,-1,100.0,[0],[0],0.0039666666666666,13.0
0,-1,-1,100.0,[0],[0],0.0074133333333333,14.0
0,-1,-1,100.0,[0],[0],0.0049133333333333,15.0
0,-1,-1,0.0,[1],[0],0.0182416666666666,16.0
0,-1,-1,100.0,[0],[0],0.0104466666666666,17.0
0,-1,-1,0.0,[0],[1],0.00743,18.0
0,-1,-1,0.0,[0],[1],0.0078383333333333,19.0
0,-1,-1,100.0,[0],[0],0.0106983333333333,20.0
0,-1,-1,100.0,[0],[0],0.014755,21.0
0,-1,-1,100.0,[0],[0],0.009005,22.0
0,-1,-1,0.0,[0],[1],0.0021416666666666,23.0
0,-1,-1,100.0,[0],[0],0.0028266666666666,24.0
0,-1,-1,0.0,[0],[1],0.00912,25.0
0,-1,-1,100.0,[1],[1],0.00809,26.0
0,-1,-1,100.0,[0],[0],0.0046133333333333,27.0
0,-1,-1,0.0,[1],[0],0.004115,28.0
0,-1,-1,100.0,[0],[0],0.0051616666666666,29.0
0,-1,-1,0.0,[0],[1],0.0124083333333333,30.0
0,-1,-1,0.0,[0],[1],0.0071966666666666,31.0
0,-1,-1,100.0,[0],[0],0.0021466666666666,32.0
0,-1,-1,100.0,[0],[0],0.0016883333333333,33.0
0,-1,-1,0.0,[1],[0],0.0030433333333333,34.0
0,-1,-1,0.0,[0],[1],0.0127083333333333,35.0
0,-1,-1,0.0,[0],[1],0.0075333333333333,36.0
0,-1,-1,100.0,[0],[0],0.0091,37.0
0,-1,-1,0.0,[1],[0],0.0054516666666666,38.0
0,-1,-1,0.0,[0],[1],0.00952,39.0
0,-1,-1,0.0,[1],[0],0.017535,40.0
0,-1,-1,100.0,[0],[0],0.0158766666666666,41.0
0,-1,-1,0.0,[0],[1],0.014095,42.0
0,-1,-1,100.0,[0],[0],0.0064533333333333,43.0
0,-1,-1,100.0,[0],[0],0.006785,44.0
0,-1,-1,0.0,[0],[1],0.00345,45.0
