fold,sparsity
0,0.21493333333333334
1,0.2826666666666667
2,0.2404
3,0.20086666666666667
4,0.263
5,0.22333333333333333
6,0.07226666666666667
7,0.075
8,0.294
9,0.2806666666666667
10,0.051666666666666666
11,0.15693333333333334
12,0.2793333333333333
13,0.7589961111111111
14,0.7086666666666667
15,0.8231333333333334
16,0.8565333333333334
17,0.877
18,0.5862366666666666
19,0.8812666666666666
20,0.8741333333333333
21,0.728
22,0.8669333333333333
23,0.8410666666666666
24,0.8698
25,0.8377333333333333
26,0.8418
