fold,sparsity
0,0.368075
1,0.290485
2,0.2575266666666667
3,0.29164666666666667
4,0.318725
5,0.36599333333333334
6,0.33187
7,0.29588
8,0.37774166666666664
9,0.366695
10,0.404715
11,0.3236366666666667
12,0.36294
13,0.36868666666666666
14,0.34545333333333333
15,0.31415166666666666
16,0.4251816666666667
17,0.3083916666666667
18,0.26656
19,0.3698
20,0.4494
21,0.31963166666666665
22,0.32323166666666664
23,0.3730983333333333
24,0.3233683333333333
25,0.3623516666666667
26,0.3410916666666667
27,0.3292616666666667
28,0.24304666666666666
29,0.25007833333333335
30,0.20907666666666666
31,0.41146666666666665
32,0.271705
33,0.33916166666666664
34,0.3296266666666667
35,0.3092
36,0.2656
37,0.28902666666666665
38,0.29256
39,0.25353333333333333
40,0.37246666666666667
41,0.4466
42,0.378875
43,0.44593333333333335
44,0.34820833333333334
45,0.36861333333333335
