,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.68408,0.0
0,-1,-1,100.0,[0],[0],0.7577333333333334,1.0
0,-1,-1,100.0,[0],[0],0.6150427777777778,2.0
0,-1,-1,100.0,[0],[0],0.644585,3.0
0,-1,-1,100.0,[0],[0],0.8209333333333333,4.0
0,-1,-1,100.0,[0],[0],0.6946,5.0
0,-1,-1,0.0,[1],[0],0.6287855555555556,6.0
0,-1,-1,100.0,[0],[0],0.6806666666666666,7.0
0,-1,-1,100.0,[0],[0],0.7292,8.0
0,-1,-1,100.0,[0],[0],0.6776666666666666,9.0
0,-1,-1,100.0,[0],[0],0.671,10.0
0,-1,-1,100.0,[0],[0],0.6290466666666666,11.0
0,-1,-1,100.0,[0],[0],0.6990666666666666,12.0
0,-1,-1,0.0,[1],[0],0.6719966666666667,13.0
0,-1,-1,100.0,[0],[0],0.6462,14.0
0,-1,-1,100.0,[0],[0],0.7564666666666666,15.0
0,-1,-1,100.0,[0],[0],0.7300666666666666,16.0
0,-1,-1,100.0,[0],[0],0.6488666666666667,17.0
0,-1,-1,0.0,[0],[1],0.63932,18.0
0,-1,-1,0.0,[0],[1],0.7334,19.0
0,-1,-1,100.0,[0],[0],0.7774,20.0
0,-1,-1,100.0,[0],[0],0.6626127777777778,21.0
0,-1,-1,100.0,[0],[0],0.7364,22.0
0,-1,-1,0.0,[0],[1],0.7304,23.0
0,-1,-1,100.0,[0],[0],0.7418,24.0
0,-1,-1,0.0,[0],[1],0.6433333333333333,25.0
0,-1,-1,0.0,[0],[1],0.7082,26.0
0,-1,-1,100.0,[0],[0],0.7270666666666666,27.0
0,-1,-1,100.0,[0],[0],0.6552566666666667,28.0
0,-1,-1,100.0,[0],[0],0.6411611111111111,29.0
0,-1,-1,0.0,[0],[1],0.6393011111111111,30.0
0,-1,-1,0.0,[0],[1],0.7502666666666666,31.0
0,-1,-1,100.0,[0],[0],0.7866666666666666,32.0
0,-1,-1,100.0,[0],[0],0.683,33.0
0,-1,-1,100.0,[0],[0],0.6549572222222222,34.0
0,-1,-1,0.0,[0],[1],0.7593333333333333,35.0
0,-1,-1,0.0,[0],[1],0.6966666666666667,36.0
0,-1,-1,100.0,[0],[0],0.6643333333333333,37.0
0,-1,-1,100.0,[0],[0],0.6310611111111111,38.0
0,-1,-1,0.0,[0],[1],0.6043622222222222,39.0
0,-1,-1,100.0,[0],[0],0.6471333333333333,40.0
0,-1,-1,100.0,[0],[0],0.674,41.0
0,-1,-1,0.0,[0],[1],0.6919333333333333,42.0
0,-1,-1,100.0,[0],[0],0.6503333333333333,43.0
0,-1,-1,100.0,[0],[0],0.6286,44.0
0,-1,-1,0.0,[0],[1],0.6638861111111111,45.0
