,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6520783333333333,0.0
0,-1,-1,100.0,[0],[0],0.5916,1.0
0,-1,-1,100.0,[0],[0],0.7208244444444445,2.0
0,-1,-1,100.0,[0],[0],0.6452011111111111,3.0
0,-1,-1,100.0,[0],[0],0.7175333333333334,4.0
0,-1,-1,100.0,[0],[0],0.5890666666666666,5.0
0,-1,-1,100.0,[0],[0],0.633595,6.0
0,-1,-1,100.0,[0],[0],0.7154,7.0
0,-1,-1,100.0,[0],[0],0.6539333333333334,8.0
0,-1,-1,100.0,[0],[0],0.6836,9.0
0,-1,-1,100.0,[0],[0],0.6390666666666667,10.0
0,-1,-1,100.0,[0],[0],0.6650494444444445,11.0
0,-1,-1,100.0,[0],[0],0.6571333333333333,12.0
0,-1,-1,100.0,[0],[0],0.6523866666666667,13.0
0,-1,-1,100.0,[0],[0],0.6753333333333333,14.0
0,-1,-1,100.0,[0],[0],0.6794666666666667,15.0
0,-1,-1,100.0,[0],[0],0.6692666666666667,16.0
0,-1,-1,100.0,[0],[0],0.6481333333333333,17.0
0,-1,-1,0.0,[0],[1],0.6250666666666667,18.0
0,-1,-1,0.0,[0],[1],0.7108,19.0
0,-1,-1,100.0,[0],[0],0.6992,20.0
0,-1,-1,100.0,[0],[0],0.6556088888888889,21.0
0,-1,-1,100.0,[0],[0],0.6924666666666667,22.0
0,-1,-1,0.0,[0],[1],0.6528666666666667,23.0
0,-1,-1,100.0,[0],[0],0.6865333333333333,24.0
0,-1,-1,0.0,[0],[1],0.7038666666666666,25.0
0,-1,-1,100.0,[1],[1],0.6418666666666667,26.0
0,-1,-1,100.0,[0],[0],0.6472666666666667,27.0
0,-1,-1,100.0,[0],[0],0.5982533333333333,28.0
0,-1,-1,100.0,[0],[0],0.6786455555555555,29.0
0,-1,-1,0.0,[0],[1],0.6248077777777777,30.0
0,-1,-1,0.0,[0],[1],0.6692666666666667,31.0
0,-1,-1,0.0,[1],[0],0.7756,32.0
0,-1,-1,100.0,[0],[0],0.6701333333333334,33.0
0,-1,-1,100.0,[0],[0],0.5721038888888889,34.0
0,-1,-1,0.0,[0],[1],0.6684,35.0
0,-1,-1,0.0,[0],[1],0.6847333333333333,36.0
0,-1,-1,100.0,[0],[0],0.5964,37.0
0,-1,-1,100.0,[0],[0],0.6199622222222222,38.0
0,-1,-1,0.0,[0],[1],0.5170566666666667,39.0
0,-1,-1,0.0,[1],[0],0.6576666666666666,40.0
0,-1,-1,100.0,[0],[0],0.6710666666666667,41.0
0,-1,-1,0.0,[0],[1],0.5969333333333333,42.0
0,-1,-1,100.0,[0],[0],0.6678666666666667,43.0
0,-1,-1,100.0,[0],[0],0.6330666666666667,44.0
0,-1,-1,0.0,[0],[1],0.7056966666666666,45.0
