,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.2701033333333333,0.0
0,-1,-1,0.0,[1],[0],0.4548566666666667,1.0
0,-1,-1,0.0,[1],[0],0.2268333333333333,2.0
0,-1,-1,0.0,[1],[0],0.2842833333333333,3.0
0,-1,-1,100.0,[0],[0],0.4579666666666667,4.0
0,-1,-1,0.0,[1],[0],0.37373,5.0
0,-1,-1,100.0,[0],[0],0.38025,6.0
0,-1,-1,0.0,[1],[0],0.2835566666666667,7.0
0,-1,-1,100.0,[0],[0],0.2917266666666667,8.0
0,-1,-1,0.0,[1],[0],0.3984,9.0
0,-1,-1,100.0,[0],[0],0.2984333333333333,10.0
0,-1,-1,0.0,[1],[0],0.2856733333333333,11.0
0,-1,-1,0.0,[1],[0],0.40316,12.0
0,-1,-1,100.0,[0],[0],0.3204233333333333,13.0
0,-1,-1,0.0,[1],[0],0.3715766666666666,14.0
0,-1,-1,0.0,[1],[0],0.36543,15.0
0,-1,-1,0.0,[1],[0],0.3674666666666666,16.0
0,-1,-1,0.0,[1],[0],0.3657133333333333,17.0
0,-1,-1,0.0,[0],[1],0.27718,18.0
0,-1,-1,0.0,[0],[1],0.4419333333333333,19.0
0,-1,-1,100.0,[0],[0],0.41156,20.0
0,-1,-1,0.0,[1],[0],0.2641533333333333,21.0
0,-1,-1,100.0,[0],[0],0.4849166666666666,22.0
0,-1,-1,0.0,[0],[1],0.494,23.0
0,-1,-1,0.0,[1],[0],0.3867666666666666,24.0
0,-1,-1,100.0,[1],[1],0.3702966666666666,25.0
0,-1,-1,100.0,[1],[1],0.40317,26.0
0,-1,-1,0.0,[1],[0],0.4401,27.0
0,-1,-1,0.0,[1],[0],0.1838666666666666,28.0
0,-1,-1,0.0,[1],[0],0.2199233333333333,29.0
0,-1,-1,0.0,[0],[1],0.20504,30.0
0,-1,-1,100.0,[1],[1],0.3530433333333333,31.0
0,-1,-1,0.0,[1],[0],0.2842866666666667,32.0
0,-1,-1,0.0,[1],[0],0.27008,33.0
0,-1,-1,0.0,[1],[0],0.2991066666666667,34.0
0,-1,-1,0.0,[0],[1],0.3813333333333333,35.0
0,-1,-1,100.0,[1],[1],0.34969,36.0
0,-1,-1,100.0,[0],[0],0.4204433333333333,37.0
0,-1,-1,0.0,[1],[0],0.2189233333333333,38.0
0,-1,-1,100.0,[1],[1],0.2888533333333333,39.0
0,-1,-1,100.0,[0],[0],0.3330566666666666,40.0
0,-1,-1,0.0,[1],[0],0.4073366666666667,41.0
0,-1,-1,0.0,[0],[1],0.3628366666666666,42.0
0,-1,-1,0.0,[1],[0],0.3893333333333333,43.0
0,-1,-1,100.0,[0],[0],0.3242666666666666,44.0
0,-1,-1,0.0,[0],[1],0.2942666666666667,45.0
