,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6502288888888889,0.0
0,-1,-1,100.0,[0],[0],0.80043,1.0
0,-1,-1,100.0,[0],[0],0.6171022222222222,2.0
0,-1,-1,100.0,[0],[0],0.5516622222222223,3.0
0,-1,-1,100.0,[0],[0],0.7149355555555555,4.0
0,-1,-1,100.0,[0],[0],0.8021055555555555,5.0
0,-1,-1,100.0,[0],[0],0.5300222222222222,6.0
0,-1,-1,100.0,[0],[0],0.7898066666666667,7.0
0,-1,-1,100.0,[0],[0],0.7655544444444444,8.0
0,-1,-1,100.0,[0],[0],0.6742244444444444,9.0
0,-1,-1,100.0,[0],[0],0.7025033333333334,10.0
0,-1,-1,100.0,[0],[0],0.6376144444444445,11.0
0,-1,-1,100.0,[0],[0],0.7984533333333333,12.0
0,-1,-1,100.0,[0],[0],0.5943977777777778,13.0
0,-1,-1,100.0,[0],[0],0.6802422222222222,14.0
0,-1,-1,100.0,[0],[0],0.7337822222222222,15.0
0,-1,-1,100.0,[0],[0],0.8134677777777778,16.0
0,-1,-1,100.0,[0],[0],0.7859266666666667,17.0
0,-1,-1,0.0,[0],[1],0.4510833333333333,18.0
0,-1,-1,0.0,[0],[1],0.8011355555555556,19.0
0,-1,-1,100.0,[0],[0],0.8390244444444445,20.0
0,-1,-1,100.0,[0],[0],0.6006755555555555,21.0
0,-1,-1,100.0,[0],[0],0.7990222222222222,22.0
0,-1,-1,0.0,[0],[1],0.8747722222222222,23.0
0,-1,-1,100.0,[0],[0],0.8324077777777777,24.0
0,-1,-1,0.0,[0],[1],0.73382,25.0
0,-1,-1,0.0,[0],[1],0.83718,26.0
0,-1,-1,100.0,[0],[0],0.8109944444444445,27.0
0,-1,-1,0.0,[1],[0],0.3573988888888889,28.0
0,-1,-1,100.0,[0],[0],0.4848955555555556,29.0
0,-1,-1,0.0,[0],[1],0.4556122222222222,30.0
0,-1,-1,0.0,[0],[1],0.8396755555555555,31.0
0,-1,-1,100.0,[0],[0],0.8004755555555556,32.0
0,-1,-1,100.0,[0],[0],0.7111133333333334,33.0
0,-1,-1,100.0,[0],[0],0.6548677777777778,34.0
0,-1,-1,0.0,[0],[1],0.8306744444444445,35.0
0,-1,-1,0.0,[0],[1],0.8622566666666667,36.0
0,-1,-1,0.0,[1],[0],0.7842288888888889,37.0
0,-1,-1,100.0,[0],[0],0.35316,38.0
0,-1,-1,0.0,[0],[1],0.3996388888888889,39.0
0,-1,-1,100.0,[0],[0],0.8360766666666667,40.0
0,-1,-1,100.0,[0],[0],0.8203422222222222,41.0
0,-1,-1,0.0,[0],[1],0.6865766666666666,42.0
0,-1,-1,100.0,[0],[0],0.7651855555555556,43.0
0,-1,-1,100.0,[0],[0],0.7995266666666667,44.0
0,-1,-1,100.0,[0],[0],0.7995266666666667,44.0
0,-1,-1,0.0,[0],[1],0.6666866666666666,45.0
0,-1,-1,0.0,[0],[1],0.6666866666666666,45.0
