,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,0.0,[1],[0],0.4491733333333333,0.0
0,-1,-1,0.0,[1],[0],0.4108666666666666,1.0
0,-1,-1,100.0,[0],[0],0.4394066666666666,2.0
0,-1,-1,0.0,[1],[0],0.4751633333333333,3.0
0,-1,-1,100.0,[0],[0],0.4342666666666667,4.0
0,-1,-1,0.0,[1],[0],0.4816666666666667,5.0
0,-1,-1,100.0,[0],[0],0.4731633333333333,6.0
0,-1,-1,0.0,[1],[0],0.4568433333333333,7.0
0,-1,-1,100.0,[0],[0],0.4649333333333333,8.0
0,-1,-1,100.0,[0],[0],0.4369333333333333,9.0
0,-1,-1,100.0,[0],[0],0.4512666666666666,10.0
0,-1,-1,0.0,[1],[0],0.4398733333333333,11.0
0,-1,-1,0.0,[1],[0],0.427,12.0
0,-1,-1,100.0,[0],[0],0.4492333333333333,13.0
0,-1,-1,0.0,[1],[0],0.4635733333333333,14.0
0,-1,-1,100.0,[0],[0],0.4656933333333333,15.0
0,-1,-1,0.0,[1],[0],0.4848,16.0
0,-1,-1,100.0,[0],[0],0.4258666666666666,17.0
0,-1,-1,0.0,[0],[1],0.4715333333333333,18.0
0,-1,-1,0.0,[0],[1],0.4066,19.0
0,-1,-1,100.0,[0],[0],0.458,20.0
0,-1,-1,0.0,[1],[0],0.4028766666666666,21.0
0,-1,-1,100.0,[0],[0],0.4216,22.0
0,-1,-1,0.0,[0],[1],0.4483333333333333,23.0
0,-1,-1,0.0,[1],[0],0.4521333333333333,24.0
0,-1,-1,100.0,[1],[1],0.433,25.0
0,-1,-1,100.0,[1],[1],0.48,26.0
0,-1,-1,0.0,[1],[0],0.4728666666666666,27.0
0,-1,-1,100.0,[0],[0],0.39477,28.0
0,-1,-1,100.0,[0],[0],0.4465266666666667,29.0
0,-1,-1,100.0,[1],[1],0.3992533333333333,30.0
0,-1,-1,100.0,[1],[1],0.4178666666666666,31.0
0,-1,-1,0.0,[1],[0],0.4045333333333333,32.0
0,-1,-1,0.0,[1],[0],0.6278066666666666,33.0
0,-1,-1,0.0,[1],[0],0.4034566666666667,34.0
0,-1,-1,0.0,[0],[1],0.5212,35.0
0,-1,-1,0.0,[0],[1],0.49167,36.0
0,-1,-1,100.0,[0],[0],0.5027333333333334,37.0
0,-1,-1,100.0,[0],[0],0.46208,38.0
0,-1,-1,0.0,[0],[1],0.4849666666666666,39.0
0,-1,-1,100.0,[0],[0],0.4621333333333333,40.0
0,-1,-1,100.0,[0],[0],0.54702,41.0
0,-1,-1,0.0,[0],[1],0.4862466666666666,42.0
0,-1,-1,0.0,[1],[0],0.524,43.0
0,-1,-1,100.0,[0],[0],0.5422633333333333,44.0
0,-1,-1,100.0,[1],[1],0.46847,45.0
