,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.03866,0.0
0,-1,-1,100.0,[0],[0],0.0588433333333333,1.0
0,-1,-1,100.0,[0],[0],0.0446533333333333,2.0
0,-1,-1,0.0,[1],[0],0.0555933333333333,3.0
0,-1,-1,0.0,[1],[0],0.03544,4.0
0,-1,-1,0.0,[1],[0],0.0653366666666666,5.0
0,-1,-1,100.0,[0],[0],0.03324,6.0
0,-1,-1,100.0,[0],[0],0.05335,7.0
0,-1,-1,0.0,[1],[0],0.0509766666666666,8.0
0,-1,-1,100.0,[0],[0],0.0775533333333333,9.0
0,-1,-1,100.0,[0],[0],0.06057,10.0
0,-1,-1,0.0,[1],[0],0.0422033333333333,11.0
0,-1,-1,0.0,[1],[0],0.0723933333333333,12.0
0,-1,-1,0.0,[1],[0],0.0374333333333333,13.0
0,-1,-1,100.0,[0],[0],0.06893,14.0
0,-1,-1,100.0,[0],[0],0.0413766666666666,15.0
0,-1,-1,100.0,[0],[0],0.10029,16.0
0,-1,-1,100.0,[0],[0],0.1002433333333333,17.0
0,-1,-1,0.0,[0],[1],0.07005,18.0
0,-1,-1,100.0,[1],[1],0.0667766666666666,19.0
0,-1,-1,100.0,[0],[0],0.1134666666666666,20.0
0,-1,-1,0.0,[1],[0],0.0852933333333333,21.0
0,-1,-1,100.0,[0],[0],0.0650033333333333,22.0
0,-1,-1,0.0,[0],[1],0.03903,23.0
0,-1,-1,100.0,[0],[0],0.0470333333333333,24.0
0,-1,-1,0.0,[0],[1],0.1021333333333333,25.0
0,-1,-1,100.0,[1],[1],0.0858,26.0
0,-1,-1,100.0,[0],[0],0.0545833333333333,27.0
0,-1,-1,0.0,[1],[0],0.0251566666666666,28.0
0,-1,-1,100.0,[0],[0],0.0526733333333333,29.0
0,-1,-1,100.0,[1],[1],0.0692166666666666,30.0
0,-1,-1,0.0,[0],[1],0.08239,31.0
0,-1,-1,100.0,[0],[0],0.0675833333333333,32.0
0,-1,-1,0.0,[1],[0],0.03539,33.0
0,-1,-1,100.0,[0],[0],0.03307,34.0
0,-1,-1,100.0,[1],[1],0.1257033333333333,35.0
0,-1,-1,100.0,[1],[1],0.0900833333333333,36.0
0,-1,-1,100.0,[0],[0],0.1020266666666666,37.0
0,-1,-1,100.0,[0],[0],0.0370333333333333,38.0
0,-1,-1,100.0,[1],[1],0.06581,39.0
0,-1,-1,100.0,[0],[0],0.1084966666666666,40.0
0,-1,-1,100.0,[0],[0],0.1176466666666666,41.0
0,-1,-1,100.0,[1],[1],0.11613,42.0
0,-1,-1,100.0,[0],[0],0.1036266666666666,43.0
0,-1,-1,100.0,[0],[0],0.0685466666666666,44.0
0,-1,-1,100.0,[1],[1],0.06877666666666667,45.0
