,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.6665133333333333,0.0
0,-1,-1,100.0,[0],[0],0.6805333333333333,1.0
0,-1,-1,100.0,[0],[0],0.6457133333333334,2.0
0,-1,-1,100.0,[0],[0],0.6477255555555556,3.0
0,-1,-1,0.0,[1],[0],0.676,4.0
0,-1,-1,0.0,[1],[0],0.713,5.0
0,-1,-1,0.0,[1],[0],0.5617566666666667,6.0
0,-1,-1,100.0,[0],[0],0.6572,7.0
0,-1,-1,100.0,[0],[0],0.7234666666666667,8.0
0,-1,-1,100.0,[0],[0],0.6328666666666667,9.0
0,-1,-1,0.0,[1],[0],0.5949333333333333,10.0
0,-1,-1,100.0,[0],[0],0.7205388888888888,11.0
0,-1,-1,0.0,[1],[0],0.5926,12.0
0,-1,-1,100.0,[0],[0],0.6612522222222222,13.0
0,-1,-1,100.0,[0],[0],0.6356,14.0
0,-1,-1,100.0,[0],[0],0.5981333333333333,15.0
0,-1,-1,100.0,[0],[0],0.6066666666666667,16.0
0,-1,-1,100.0,[0],[0],0.6516,17.0
0,-1,-1,0.0,[0],[1],0.6327466666666667,18.0
0,-1,-1,100.0,[1],[1],0.5878,19.0
0,-1,-1,100.0,[0],[0],0.7108666666666666,20.0
0,-1,-1,100.0,[0],[0],0.6889377777777778,21.0
0,-1,-1,100.0,[0],[0],0.6865333333333333,22.0
0,-1,-1,0.0,[0],[1],0.6436666666666667,23.0
0,-1,-1,100.0,[0],[0],0.6414,24.0
0,-1,-1,0.0,[0],[1],0.6525333333333333,25.0
0,-1,-1,0.0,[0],[1],0.652,26.0
0,-1,-1,100.0,[0],[0],0.7056,27.0
0,-1,-1,100.0,[0],[0],0.6655555555555556,28.0
0,-1,-1,100.0,[0],[0],0.6753311111111111,29.0
0,-1,-1,0.0,[0],[1],0.6090377777777778,30.0
0,-1,-1,0.0,[0],[1],0.6286,31.0
0,-1,-1,100.0,[0],[0],0.6114666666666667,32.0
0,-1,-1,100.0,[0],[0],0.694,33.0
0,-1,-1,0.0,[1],[0],0.6614366666666667,34.0
0,-1,-1,100.0,[1],[1],0.7028,35.0
0,-1,-1,100.0,[1],[1],0.671,36.0
0,-1,-1,100.0,[0],[0],0.6279333333333333,37.0
0,-1,-1,100.0,[0],[0],0.6180511111111111,38.0
0,-1,-1,100.0,[1],[1],0.4872266666666666,39.0
0,-1,-1,100.0,[0],[0],0.7337333333333333,40.0
0,-1,-1,100.0,[0],[0],0.7243988888888889,41.0
0,-1,-1,0.0,[0],[1],0.6806,42.0
0,-1,-1,100.0,[0],[0],0.7708,43.0
0,-1,-1,100.0,[0],[0],0.6124666666666667,44.0
0,-1,-1,100.0,[1],[1],0.6592733333333334,45.0
