,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5454022222222222,0.0
0,-1,-1,100.0,[0],[0],0.6604455555555555,1.0
0,-1,-1,100.0,[0],[0],0.5105466666666667,2.0
0,-1,-1,100.0,[0],[0],0.4601255555555555,3.0
0,-1,-1,100.0,[0],[0],0.6071077777777778,4.0
0,-1,-1,100.0,[0],[0],0.6657,5.0
0,-1,-1,100.0,[0],[0],0.4420188888888889,6.0
0,-1,-1,0.0,[1],[0],0.65337,7.0
0,-1,-1,100.0,[0],[0],0.6368133333333333,8.0
0,-1,-1,100.0,[0],[0],0.5599644444444445,9.0
0,-1,-1,100.0,[0],[0],0.5776022222222222,10.0
0,-1,-1,100.0,[0],[0],0.5326311111111112,11.0
0,-1,-1,100.0,[0],[0],0.6629511111111112,12.0
0,-1,-1,100.0,[0],[0],0.4982522222222222,13.0
0,-1,-1,100.0,[0],[0],0.5657466666666666,14.0
0,-1,-1,100.0,[0],[0],0.6149277777777777,15.0
0,-1,-1,100.0,[0],[0],0.6679411111111111,16.0
0,-1,-1,100.0,[0],[0],0.6580522222222223,17.0
0,-1,-1,0.0,[0],[1],0.3744411111111111,18.0
0,-1,-1,0.0,[0],[1],0.6639744444444444,19.0
0,-1,-1,100.0,[0],[0],0.6920666666666667,20.0
0,-1,-1,100.0,[0],[0],0.5025166666666666,21.0
0,-1,-1,100.0,[0],[0],0.6620955555555555,22.0
0,-1,-1,0.0,[0],[1],0.7266344444444445,23.0
0,-1,-1,0.0,[1],[0],0.6753044444444445,24.0
0,-1,-1,100.0,[1],[1],0.60542,25.0
0,-1,-1,0.0,[0],[1],0.6933788888888889,26.0
0,-1,-1,100.0,[0],[0],0.6766722222222222,27.0
0,-1,-1,100.0,[0],[0],0.2976088888888888,28.0
0,-1,-1,100.0,[0],[0],0.4024988888888889,29.0
0,-1,-1,0.0,[0],[1],0.3784933333333333,30.0
0,-1,-1,0.0,[0],[1],0.6983511111111111,31.0
0,-1,-1,100.0,[0],[0],0.6678566666666667,32.0
0,-1,-1,100.0,[0],[0],0.5964455555555556,33.0
0,-1,-1,100.0,[0],[0],0.5441511111111111,34.0
0,-1,-1,0.0,[0],[1],0.6878022222222222,35.0
0,-1,-1,0.0,[0],[1],0.7183333333333334,36.0
0,-1,-1,100.0,[0],[0],0.6455488888888888,37.0
0,-1,-1,100.0,[0],[0],0.2955288888888889,38.0
0,-1,-1,0.0,[0],[1],0.3342133333333333,39.0
0,-1,-1,100.0,[0],[0],0.6998088888888889,40.0
0,-1,-1,100.0,[0],[0],0.6833444444444444,41.0
0,-1,-1,0.0,[0],[1],0.5519288888888889,42.0
0,-1,-1,100.0,[0],[0],0.6291088888888889,43.0
0,-1,-1,100.0,[0],[0],0.6692944444444444,44.0
0,-1,-1,0.0,[0],[1],0.5521655555555556,45.0
