,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.4982277777777777,0.0
0,-1,-1,100.0,[0],[0],0.5797733333333334,1.0
0,-1,-1,0.0,[1],[0],0.4549144444444444,2.0
0,-1,-1,100.0,[0],[0],0.4181022222222222,3.0
0,-1,-1,0.0,[1],[0],0.5037466666666667,4.0
0,-1,-1,0.0,[1],[0],0.6062588888888889,5.0
0,-1,-1,100.0,[0],[0],0.40284,6.0
0,-1,-1,100.0,[0],[0],0.5992988888888889,7.0
0,-1,-1,100.0,[0],[0],0.5738888888888889,8.0
0,-1,-1,100.0,[0],[0],0.4990244444444444,9.0
0,-1,-1,100.0,[0],[0],0.5046888888888889,10.0
0,-1,-1,100.0,[0],[0],0.4863355555555556,11.0
0,-1,-1,100.0,[0],[0],0.602,12.0
0,-1,-1,100.0,[0],[0],0.4505266666666667,13.0
0,-1,-1,100.0,[0],[0],0.5112966666666666,14.0
0,-1,-1,0.0,[1],[0],0.55665,15.0
0,-1,-1,100.0,[0],[0],0.6070544444444445,16.0
0,-1,-1,100.0,[0],[0],0.6006555555555556,17.0
