fold,sparsity
0,0.4130344444444444
1,0.49191666666666667
2,0.3779177777777778
3,0.3529388888888889
4,0.4537188888888889
5,0.5093433333333334
6,0.3315533333333333
7,0.4905
8,0.4778422222222222
9,0.41692111111111113
10,0.4228722222222222
11,0.4013988888888889
12,0.5095855555555555
13,0.3794811111111111
14,0.43488444444444446
15,0.46023444444444445
16,0.48588444444444445
17,0.5002888888888889
18,0.28457666666666664
19,0.49769
20,0.5247711111111111
21,0.38125555555555557
22,0.4988077777777778
23,0.5622433333333333
24,0.5184677777777777
